n,metric,steps,independent_inputs,repeats_per_input,baseline,baseline_us,baseline_us_q1,baseline_us_q3,proposed_us,proposed_us_q1,proposed_us_q3,paired_speedup,paired_speedup_q1,paired_speedup_q3,baseline_total_ms,baseline_total_ms_q1,baseline_total_ms_q3,proposed_total_ms,proposed_total_ms_q1,proposed_total_ms_q3,total_speedup,total_speedup_q1,total_speedup_q3
3,max,15744,10,5,peigen,0.029197757876016257,0.028240043826219516,0.02954544588414634,0.012569518546747968,0.01209884717987805,0.01286105818089431,2.3213411485169466,2.3079647861102064,2.32880978404959,0.4711875,0.45374975,0.47501175,0.206591,0.199288,0.21208025,2.2716441474767493,2.2454021744414834,2.284677823805602
3,min,27413,10,5,peigen,0.03479761427060154,0.03477673001860431,0.03481740415131507,0.021772042461605808,0.020951774705431726,0.022308649181045487,1.601489379477909,1.5593697589255144,1.6627496839245675,0.9637405,0.96250225,0.9645195,0.606334,0.5833794999999999,0.62035175,1.5915570901274283,1.5537373475842953,1.6522956635786765
3,spectrum,20864,10,5,peigen,0.05050479294478528,0.05044495302914111,0.05060732601610429,0.02745969133435583,0.027133387653374235,0.02767155147622699,1.843364635430932,1.8248097396007952,1.8661721567027236,1.064626,1.06232325,1.066147,0.5821405,0.57512675,0.5861625,1.8306857956115383,1.8146093804704457,1.851951477222664
4,max,23808,10,5,peigen,0.0675480720766129,0.04097260374663979,0.07517477318548388,0.018473118279569895,0.013592689432123656,0.021348307291666667,3.2542460966185116,2.9928585460741477,3.532546745441606,1.621064,0.98608875,1.80129825,0.44873399999999997,0.332646,0.517284,3.2180980200632945,2.9418645286877987,3.4934497794406796
4,min,9594,10,5,peigen,0.048765999583072754,0.048701427975818216,0.04881027204502815,0.03770241817802794,0.033179487179487176,0.0437960965186575,1.3001603087191973,1.117986014621417,1.4694539546541487,0.4787575,0.47754725,0.47959025,0.3710385,0.32744375000000003,0.4294565,1.2954272122894053,1.1182927336884134,1.4572539627425558
4,spectrum,15872,10,5,peigen,0.061320249495967746,0.06106757182459677,0.061672079763104834,0.06346679687500001,0.0445420394405242,0.06646317414314516,0.9677271190331787,0.927325695475798,1.3739889172642594,0.9834735,0.97880125,0.98911875,1.0166115,0.716148,1.0642225,0.9696003528982573,0.9284334003728146,1.3697577546882391
5,max,20096,10,5,peigen,0.09344578523089173,0.08751991689888536,0.09451673218550954,0.03952293988853503,0.031587193968949046,0.03994225218949045,2.404234375901437,2.3384230545158537,2.5304798893001057,1.8881549999999998,1.76902875,1.90911375,0.8038255,0.6444625,0.81227125,2.3886874804048928,2.3235107632103604,2.509218664118475
5,min,10649,10,5,peigen,0.08853577800732462,0.08793637900272326,0.08966625974269885,0.0576015588318152,0.05216104798572636,0.06826380411306227,1.5516182934316884,1.39712369864987,1.6939014322344885,0.9540900000000001,0.94715375,0.9696305,0.623062,0.56507825,0.73659875,1.546416615551641,1.3961872358469374,1.6827779588433458
5,spectrum,3200,10,5,peigen,0.30195046875,0.300675546875,0.30384359375,0.0983325,0.0967984375,0.10001359375,3.059990980061105,3.021830163012222,3.151248471055517,0.977824,0.973141,0.9833645,0.3246325,0.319748,0.329708,3.0018140115201746,2.9641829359594105,3.0925887110324792
6,max,17536,10,5,peigen,0.11409044251824818,0.11353016651459855,0.11440797502281022,0.04131355497262773,0.040957872376824814,0.04152306683394161,2.755393779883284,2.731248578613971,2.784746025588949,2.0118780000000003,2.00112375,2.018318,0.734934,0.7285762499999999,0.738295,2.730519602889313,2.7086100904771837,2.760017734274801
