case,group,n,metric,steps,accepted,initial_value,final_value,baseline_us,proposed_us,paired_speedup,baseline_total_ms,proposed_total_ms,total_speedup,baseline
random_n08_06,random,8,max,32640,0,7,7,0.8697030637254902,0.10146510416666667,8.571449966649768,28.407816,3.32819,8.535515099798989,peigen
random_n08_06,random,8,min,32640,0,7,7,3.024394087009804,0.23464041053921567,12.889485149039722,98.740771,7.675121,12.865044212332288,peigen
random_n08_06,random,8,spectrum,32640,0,1785,1785,3.2532756740196076,0.3753944852941177,8.666285205204067,106.212567,12.277273,8.651152988126924,peigen
random_n08_07,random,8,max,32640,0,7,7,0.8688174019607843,0.10148566176470589,8.5609867133264,28.381253,3.328029,8.52794642113996,peigen
random_n08_07,random,8,min,32644,1,6,7,3.0304069047910795,0.2362898541845362,12.824955668322563,98.951466,7.730165,12.80069261134788,peigen
random_n08_07,random,8,spectrum,32644,1,1784,1785,3.309040068619042,0.37063527753951725,8.928022422976806,108.042796,12.123234,8.912044096484486,peigen
random_n08_08,random,8,max,32640,0,7,7,0.8668710171568628,0.10138075980392157,8.550646284694059,28.316561,3.324765,8.51686089092011,peigen
random_n08_08,random,8,min,32640,0,6,6,3.0692832414215685,0.22851449142156863,13.43145995830648,100.207075,7.477587,13.40099085440263,peigen
random_n08_08,random,8,spectrum,32643,2,1782,1785,3.3085543301779863,0.37670600128664644,8.78285538026354,108.024744,12.321672,8.7670523935388,peigen
random_n08_09,random,8,max,32640,0,7,7,0.8704049019607842,0.10400916053921569,8.368540784757187,28.430945,3.410405,8.336530412077158,peigen
random_n08_09,random,8,min,32640,0,6,6,3.238796599264706,0.24682435661764707,13.121867888759013,105.741895,8.072875,13.098418469256616,peigen
random_n08_09,random,8,spectrum,32649,2,1782,1785,3.476956690863426,0.35900367545713496,9.685016974926695,113.546011,11.745619,9.667094684409566,peigen
