case,n,metric,method,steps,group,repeats,initial_value,final_value,accepted,final_box_hash,final_histogram,kernel_us_per_step,repeat_q1_us,repeat_q3_us,context_ms,init_ms,kernel_ms,total_ms
identity_n08,8,max,proposed,32641,search_control,5,1,7,1,14077415320540185759,"[0, 127, 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.06708489323243774,0.06632180386630311,0.07104243129806072,0.024245,0.006726,2.189718,2.205414
identity_n08,8,min,peigen,32640,search_control,5,1,1,0,4774620800949106213,"[0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",24.853933425245096,24.853198192401962,24.858667279411765,0.023835,0.084235,811.232387,811.375067
identity_n08,8,min,proposed,32640,search_control,5,1,1,0,4774620800949106213,"[0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.4143975796568626,1.4121399203431373,1.4179410232843137,0.012158,0.004671,46.165937,46.182545
identity_n08,8,spectrum,peigen,32895,search_control,5,255,1785,8,5688707010986299275,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.966519379844961,2.9344252013983887,2.9758727466180273,0.023955,0.081368,97.583655,97.648956
identity_n08,8,spectrum,proposed,32895,search_control,5,255,1785,8,5688707010986299275,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.4206797081623348,1.4191070983432132,1.4400766681866546,0.012519,0.013321,46.733259,46.784046
random_n08_00,8,max,peigen,32640,random,5,7,7,0,14302216915676772393,"[0, 0, 0, 0, 0, 0, 1, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.8050929534313725,0.8026286151960784,0.808162530637255,0.011887,0.007357,26.278234,26.297348
random_n08_00,8,max,proposed,32640,random,5,7,7,0,14302216915676772393,"[0, 0, 0, 0, 0, 0, 1, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.12066167279411764,0.12061620710784314,0.1236624693627451,0.024046,0.006394,3.938397,3.972806
random_n08_00,8,min,peigen,32642,random,5,6,7,1,2112979655003024393,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3.047383003492433,3.0452311439250046,3.052621928803382,0.012298,0.012148,99.472676,99.496161
random_n08_00,8,min,proposed,32642,random,5,6,7,1,2112979655003024393,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.4476164757061455,0.44750281845475154,0.4484980699712028,0.012018,0.003619,14.611097,14.626422
random_n08_00,8,spectrum,peigen,32642,random,5,1784,1785,1,2112979655003024393,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3.2708835242938545,3.269128607315728,3.271824336744072,0.011677,0.011977,106.76818,106.792065
random_n08_00,8,spectrum,proposed,32642,random,5,1784,1785,1,2112979655003024393,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.677443048832792,1.6713650205257031,1.7061355921818515,0.011998,0.010594,54.755096,54.777167
random_n08_01,8,max,peigen,32640,random,5,7,7,0,13088251914154843549,"[0, 0, 0, 0, 0, 0, 1, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.8026077512254902,0.8015697916666666,0.8036954350490195,0.011857,0.009352,26.197117,26.218326
random_n08_01,8,max,proposed,32640,random,5,7,7,0,13088251914154843549,"[0, 0, 0, 0, 0, 0, 1, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.12817656249999998,0.12760845588235295,0.12953786764705882,0.024226,0.006414,4.183683,4.198748
random_n08_01,8,min,peigen,32641,random,5,6,7,1,5305792038551622429,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3.2298673753867835,3.2290746913391137,3.235261940504274,0.011627,0.009131,105.426101,105.446838
random_n08_01,8,min,proposed,32641,random,5,6,7,1,5305792038551622429,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.4592488587972183,0.4590010722710701,0.4610372843969241,0.012579,0.003739,14.990342,15.006339
random_n08_01,8,spectrum,peigen,32641,random,5,1784,1785,1,5305792038551622429,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3.477467724640789,3.476888391899758,3.4910286449557306,0.012108,0.01302,113.508024,113.531969
random_n08_01,8,spectrum,proposed,32641,random,5,1784,1785,1,5305792038551622429,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.6873379492049876,1.6857175331638123,1.7434861677031954,0.012138,0.010354,55.076398,55.097897
random_n08_02,8,max,peigen,32640,random,5,7,7,0,14784075108990547983,"[0, 0, 0, 0, 0, 0, 1, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.8042475490196078,0.8018025735294118,0.8049145220588235,0.011808,0.007738,26.25064,26.270055
random_n08_02,8,max,proposed,32640,random,5,7,7,0,14784075108990547983,"[0, 0, 0, 0, 0, 0, 1, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.1288782475490196,0.12859482230392158,0.1292906556372549,0.012299,0.003277,4.206586,4.222282
random_n08_02,8,min,peigen,32641,random,5,6,7,1,12204726147912351301,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3.253977359762262,3.2482968352685275,3.2639572929750926,0.011767,0.013401,106.213075,106.238734
random_n08_02,8,min,proposed,32641,random,5,6,7,1,12204726147912351301,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.45715002604086885,0.45691636285653014,0.4580384179406268,0.012198,0.003879,14.921834,14.937922
random_n08_02,8,spectrum,peigen,32641,random,5,1784,1785,1,12204726147912351301,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3.4826464569100213,3.4822581109647377,3.497919671578689,0.012108,0.01732,113.677063,113.706411
random_n08_02,8,spectrum,proposed,32641,random,5,1784,1785,1,12204726147912351301,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.6907516620201586,1.6903700254281426,1.6909481633528385,0.012138,0.010675,55.187825,55.209676
random_n08_03,8,max,peigen,32640,random,5,7,7,0,13911260715075711147,"[0, 0, 0, 0, 0, 0, 1, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.8063719362745099,0.8038010416666668,0.8089993566176471,0.013481,0.00878,26.31998,26.340327
random_n08_03,8,max,proposed,32640,random,5,7,7,0,13911260715075711147,"[0, 0, 0, 0, 0, 0, 1, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.12807582720588234,0.12768799019607843,0.12853247549019609,0.011908,0.003308,4.180395,4.203268
random_n08_03,8,min,peigen,32643,random,5,6,7,1,17711153980226481451,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3.2312120209539565,3.2294710657721413,3.238778145391049,0.011737,0.01285,105.476454,105.501101
random_n08_03,8,min,proposed,32643,random,5,6,7,1,17711153980226481451,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.4591430628312349,0.4590328401188616,0.4594952363446987,0.012249,0.003719,14.987807,15.005959
random_n08_03,8,spectrum,peigen,32643,random,5,1784,1785,1,17711153980226481451,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3.503317372790491,3.4965981986949726,3.5058723156572618,0.023784,0.02171,114.358789,114.408885
random_n08_03,8,spectrum,proposed,32643,random,5,1784,1785,1,17711153980226481451,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.7125493061299513,1.7110637502680512,1.791578163771712,0.012349,0.010675,55.902747,55.949414
random_n08_04,8,max,peigen,32640,random,5,7,7,0,15942162012406510011,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.8035332720588235,0.8000890625,0.8134400735294117,0.023824,0.011736,26.227326,26.270716
random_n08_04,8,max,proposed,32640,random,5,7,7,0,15942162012406510011,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.1253467830882353,0.12504678308823527,0.12671485906862745,0.012199,0.003227,4.091319,4.106745
random_n08_04,8,min,peigen,32640,random,5,7,7,0,15942162012406510011,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3.120773743872549,3.1190261642156862,3.123557506127451,0.024096,0.021119,101.862055,101.912151
random_n08_04,8,min,proposed,32640,random,5,7,7,0,15942162012406510011,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.454558762254902,0.4542246629901961,0.4559010416666667,0.012219,0.003688,14.836798,14.860392
random_n08_04,8,spectrum,peigen,32640,random,5,1785,1785,0,15942162012406510011,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3.378665042892157,3.367583762254902,3.3817890318627453,0.012007,0.013311,110.279627,110.324681
random_n08_04,8,spectrum,proposed,32640,random,5,1785,1785,0,15942162012406510011,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.7000967218137255,1.6906689644607844,1.7476511029411765,0.012399,0.010765,55.491157,55.536231
random_n08_05,8,max,peigen,32640,random,5,7,7,0,14463057154257847951,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.8040034007352941,0.8017282475490195,0.8064892463235294,0.023444,0.015045,26.242671,26.28116
random_n08_05,8,max,proposed,32640,random,5,7,7,0,14463057154257847951,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.13224384191176472,0.12430765931372549,0.13572769607843135,0.023364,0.006305,4.316439,4.346729
random_n08_05,8,min,peigen,32640,random,5,7,7,0,14463057154257847951,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3.230904105392157,3.230144669117647,3.232554901960784,0.013742,0.010184,105.45671,105.476576
random_n08_05,8,min,proposed,32640,random,5,7,7,0,14463057154257847951,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.45614635416666666,0.4548695159313726,0.4647213235294118,0.012359,0.003629,14.888617,14.904293
random_n08_05,8,spectrum,peigen,32640,random,5,1785,1785,0,14463057154257847951,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3.5003888786764707,3.4989161764705883,3.504054963235294,0.012198,0.01301,114.252693,114.27296
