case,n,metric,method,steps,group,repeats,initial_value,final_value,accepted,final_box_hash,final_histogram,kernel_us_per_step,repeat_q1_us,repeat_q3_us,context_ms,init_ms,kernel_ms,total_ms
MISTY1_FI_key0000,16,spectrum,bitwise,128,practical,5,262013,983024,0,15794973879584243881,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 65534, 0]",46108.6748515625,44127.64465625,47685.1931015625,0.636922,2382.708818,5901.910381,8283.56356
MISTY1_FI_key0000,16,spectrum,proposed,128,practical,5,262013,983024,0,15794973879584243881,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 65534, 0]",10853.8980546875,10836.4148984375,10854.6741328125,0.647696,2665.154481,1389.298951,4053.050319
MISTY1_S9,9,max,bitwise,5248,practical,5,2,8,0,11825394949459686321,"[0, 0, 0, 0, 0, 0, 0, 1, 510, 0, 0, 0, 0, 0, 0, 0, 0]",0.5450950838414634,0.5448178353658536,0.5461684451219512,0.013311,0.00859,2.860659,2.887672
MISTY1_S9,9,max,proposed,5248,practical,5,2,8,0,11825394949459686321,"[0, 0, 0, 0, 0, 0, 0, 1, 510, 0, 0, 0, 0, 0, 0, 0, 0]",0.09724637957317073,0.09487995426829268,0.10852248475609755,0.0129,0.008399,0.510349,0.531197
MISTY1_S9,9,min,bitwise,138,practical,5,2,2,0,534834668094775813,"[0, 0, 511, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",148.2140072463768,147.99452173913042,148.36745652173914,0.01308,0.151541,20.453533,20.618154
MISTY1_S9,9,min,proposed,138,practical,5,2,2,0,534834668094775813,"[0, 0, 511, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7.671855072463768,7.43486231884058,8.64759420289855,0.026231,0.022121,1.058716,1.106988
MISTY1_S9,9,spectrum,bitwise,256,practical,5,1022,4087,0,8210718714563871935,"[0, 0, 0, 0, 0, 0, 0, 1, 510, 0, 0, 0, 0, 0, 0, 0, 0]",6.7568203125,6.67194140625,6.8586953125,0.01271,0.15613,1.729746,1.893374
MISTY1_S9,9,spectrum,proposed,256,practical,5,1022,4087,0,8210718714563871935,"[0, 0, 0, 0, 0, 0, 0, 1, 510, 0, 0, 0, 0, 0, 0, 0, 0]",2.481828125,2.4738046875,2.7056640625,0.01306,0.174443,0.635348,0.82256
PRESENT,4,max,peigen,23808,practical,5,3,3,0,10172215303610603643,"[0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.07426348286290323,0.07423819724462365,0.07658186323924732,0.007137,0.001133,1.768065,1.776394
PRESENT,4,max,proposed,23808,practical,5,3,3,0,10172215303610603643,"[0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.04475894657258065,0.039839591733870965,0.04651495295698925,0.014674,0.001504,1.065621,1.081849
PRESENT,4,min,peigen,9594,practical,5,2,2,0,11571942013630973373,"[0, 0, 3, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.06378392745465916,0.06278736710444027,0.07603043568897228,0.015105,0.001704,0.611943,0.723292
PRESENT,4,min,proposed,9594,practical,5,2,2,0,11571942013630973373,"[0, 0, 3, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.15266343548050865,0.14949801959558057,0.18057254534083803,0.009351,0.001594,1.464653,1.472832
PRESENT,4,spectrum,peigen,15872,practical,5,42,45,0,13575300617661221679,"[0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.07981772933467743,0.06080651461693548,0.08248651713709677,0.014694,0.001794,1.266867,1.283625
PRESENT,4,spectrum,proposed,15872,practical,5,42,45,0,13575300617661221679,"[0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.095783203125,0.09538539566532257,0.0963637222782258,0.007047,0.001002,1.520271,1.52852
random_n03_00,3,max,peigen,15744,random,5,2,2,0,5700990275963241469,"[0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.027585365853658537,0.02751276676829268,0.05090840955284553,0.006956,0.001493,0.434304,0.445149
random_n03_00,3,max,proposed,15744,random,5,2,2,0,5700990275963241469,"[0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.03600285823170731,0.018524136178861787,0.03628239329268292,0.013771,0.001423,0.566829,0.582245
random_n03_00,3,min,peigen,27413,random,5,1,1,0,7636763051026879803,"[0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.04099248531718528,0.035495130047787544,0.04823970379017255,0.014162,0.003558,1.123727,1.139754
random_n03_00,3,min,proposed,27413,random,5,1,1,0,7636763051026879803,"[0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.06526804800642032,0.06504432203698976,0.08061445299675338,0.008951,0.001213,1.789193,1.799286
random_n03_00,3,spectrum,peigen,20864,random,5,11,14,0,5700990275963241469,"[0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.05176739838957055,0.04991018021472393,0.053110189800613494,0.006966,0.001673,1.080075,1.087723
random_n03_00,3,spectrum,proposed,20864,random,5,11,14,0,5700990275963241469,"[0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.032210170628834356,0.03209049079754601,0.03264206288343559,0.006746,0.000822,0.672033,0.6796
random_n03_01,3,max,peigen,15744,random,5,2,2,0,14142554134551304703,"[0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.029118330792682924,0.029110708841463412,0.02954681148373984,0.007086,0.003308,0.458439,0.469024
random_n03_01,3,max,proposed,15744,random,5,2,2,0,14142554134551304703,"[0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01926899136178862,0.018836128048780487,0.02063776676829268,0.007077,0.001022,0.303371,0.310828
random_n03_01,3,min,peigen,27413,random,5,1,1,0,9801746672055530301,"[0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.03541068106372889,0.0352018750227994,0.03932987998394922,0.007467,0.001403,0.970713,0.978431
random_n03_01,3,min,proposed,27413,random,5,1,1,0,9801746672055530301,"[0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.06697446467004706,0.06694484368730164,0.06705457264801372,0.006886,0.001183,1.835971,1.84423
random_n03_01,3,spectrum,peigen,20864,random,5,11,14,0,11914899718416040545,"[0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.06436886503067484,0.04991353527607362,0.06951116756134969,0.013731,0.001554,1.342992,1.358277
random_n03_01,3,spectrum,proposed,20864,random,5,11,14,0,11914899718416040545,"[0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.05075469708588957,0.0435520513803681,0.051082822085889566,0.013831,0.001694,1.058946,1.074592
