group,case,metric,profile,threads,baseline,proposed,paired_algorithm_speedup,paired_batch_total_speedup
B,random_n12_01,max,natural,2,bitwise,proposed,10.531843056422465,7.799316678227919
B,random_n12_01,max,natural,4,bitwise,proposed,10.28736318955904,7.812819318993078
B,random_n12_01,max,natural,8,bitwise,proposed,10.889049903832843,8.659229675667302
B,random_n12_01,max,natural,16,bitwise,proposed,10.316455041153944,8.180170417340477
B,random_n12_01,max,natural,32,bitwise,proposed,10.00419996438933,7.856224435974244
B,random_n12_01,max,natural,64,bitwise,proposed,9.41769268816426,7.358264257611062
B,random_n12_01,min,natural,1,bitwise,proposed,3.6885676919482417,3.548457120827176
B,random_n12_01,min,natural,2,bitwise,proposed,4.689098918893509,4.436719084619571
B,random_n12_01,min,natural,4,bitwise,proposed,4.496465156394573,4.231615133414723
B,random_n12_01,min,natural,8,bitwise,proposed,3.585696353547791,3.389762678838069
B,random_n12_01,min,natural,16,bitwise,proposed,5.830275329073446,5.5345026596388704
B,random_n12_01,min,natural,32,bitwise,proposed,28.08897793833422,26.337426794640482
B,random_n12_01,min,natural,64,bitwise,proposed,80.0743662615643,74.6438698272173
B,random_n12_01,spectrum,natural,1,bitwise,proposed,3.099220603563958,2.516908799190488
B,random_n12_01,spectrum,natural,2,bitwise,proposed,4.200815448603808,3.532121558509103
B,random_n12_01,spectrum,natural,4,bitwise,proposed,3.793868293873081,3.094996809120042
B,random_n12_01,spectrum,natural,8,bitwise,proposed,4.928173472130359,3.8186117691138817
B,random_n12_01,spectrum,natural,16,bitwise,proposed,1.5940518487426476,1.3220884845765952
B,random_n12_01,spectrum,natural,32,bitwise,proposed,1.1499836220955733,1.0464536959812845
B,random_n12_01,spectrum,natural,64,bitwise,proposed,1.1032977050148731,1.0628826662437239
B,random_n16_00,max,natural,1,bitwise,proposed,33.013660153636465,12.525868377604603
B,random_n16_00,max,natural,2,bitwise,proposed,52.86478611311861,18.655262727852516
B,random_n16_00,max,natural,4,bitwise,proposed,34.28314303122452,14.924109293867128
B,random_n16_00,max,natural,8,bitwise,proposed,25.57370703575548,12.432538676513134
B,random_n16_00,max,natural,16,bitwise,proposed,25.94908550228805,13.454930156286963
B,random_n16_00,max,natural,32,bitwise,proposed,24.81185159657794,12.833244014130804
B,random_n16_00,max,natural,64,bitwise,proposed,24.34397779592061,12.465436528132374
B,random_n16_00,min,natural,1,bitwise,proposed,27.89508441783567,20.111704184197645
B,random_n16_00,min,natural,2,bitwise,proposed,19.15858438026476,18.90236533007625
B,random_n16_00,min,natural,4,bitwise,proposed,33.91341219807206,21.99997040579042
B,random_n16_00,min,natural,8,bitwise,proposed,36.23537690306181,16.800374898264526
B,random_n16_00,min,natural,16,bitwise,proposed,28.399379269459825,10.944418839604255
B,random_n16_00,min,natural,32,bitwise,proposed,16.86935554581324,6.922108854247972
B,random_n16_00,min,natural,64,bitwise,proposed,19.278699115469998,8.030599730567593
B,random_n16_00,spectrum,natural,1,bitwise,proposed,2.6262618198510927,2.1397699470533627
B,random_n16_00,spectrum,natural,2,bitwise,proposed,4.076523155639428,2.8408867697303557
B,random_n16_00,spectrum,natural,4,bitwise,proposed,3.5294809338599014,2.1010131913527528
B,random_n16_00,spectrum,natural,8,bitwise,proposed,2.178032568117326,1.1974549346940446
B,random_n16_00,spectrum,natural,16,bitwise,proposed,1.4038510478443678,0.7498961468571247
B,random_n16_00,spectrum,natural,32,bitwise,proposed,3.6998771845609038,1.2816189172892818
B,random_n16_00,spectrum,natural,64,bitwise,proposed,8.659609562244627,1.8558783294541723
B,random_n16_01,max,natural,1,bitwise,proposed,31.345684539293345,12.40803667143845
B,random_n16_01,max,natural,2,bitwise,proposed,50.83680960061803,18.323940948464642
B,random_n16_01,max,natural,4,bitwise,proposed,31.815677307583417,14.296215247944735
B,random_n16_01,max,natural,8,bitwise,proposed,24.07521147304854,12.028133678252685
B,random_n16_01,max,natural,16,bitwise,proposed,24.568102308948145,12.96364370315244
B,random_n16_01,max,natural,32,bitwise,proposed,23.86600998176682,12.64077228765335
B,random_n16_01,max,natural,64,bitwise,proposed,22.82280849808818,12.125254767055415
B,random_n16_01,min,natural,1,bitwise,proposed,28.013591354339145,19.97443912076344
B,random_n16_01,min,natural,2,bitwise,proposed,19.22746594676779,18.92334606780587
B,random_n16_01,min,natural,4,bitwise,proposed,34.21230380387485,22.299293770393767
B,random_n16_01,min,natural,8,bitwise,proposed,36.2975095288187,16.838540124506892
B,random_n16_01,min,natural,16,bitwise,proposed,28.579606530580474,10.995666124460124
B,random_n16_01,min,natural,32,bitwise,proposed,16.730080680485496,7.135699411437793
B,random_n16_01,min,natural,64,bitwise,proposed,19.051204534056275,8.24864087463421
B,random_n16_01,spectrum,natural,1,bitwise,proposed,2.5121661249823246,2.0686586226855073
B,random_n16_01,spectrum,natural,2,bitwise,proposed,3.8024625213833483,2.708264496716886
B,random_n16_01,spectrum,natural,4,bitwise,proposed,3.2576057553833615,2.0003424273184955
B,random_n16_01,spectrum,natural,8,bitwise,proposed,2.0201008150237016,1.1515533068867745
B,random_n16_01,spectrum,natural,16,bitwise,proposed,1.2846368556275132,0.7124097815361076
B,random_n16_01,spectrum,natural,32,bitwise,proposed,3.361282845468561,1.249208712967942
B,random_n16_01,spectrum,natural,64,bitwise,proposed,7.822209840115137,1.8149820851003622
search,AES,max,natural,1,bitwise,proposed,2.586534961175507,2.579565058910727
search,AES,max,natural,8,bitwise,proposed,2.6240360510716423,2.614216255977413
search,AES,max,natural,32,bitwise,proposed,2.5825233193106385,2.572243257621744
search,AES,max,natural,1,peigen,proposed,7.007851974647134,6.9823816674528185
search,AES,min,natural,1,bitwise,proposed,4.541812054059031,4.538099208418938
search,AES,min,natural,8,bitwise,proposed,4.541015189800412,4.532005559722246
search,AES,min,natural,32,bitwise,proposed,4.608112808151715,4.601280840690197
search,AES,min,natural,1,peigen,proposed,6.576222420688541,6.570412889629185
search,AES,spectrum,natural,1,bitwise,proposed,1.5932471214881232,1.59247374238307
search,AES,spectrum,natural,8,bitwise,proposed,1.638906605497481,1.6382170928916595
search,AES,spectrum,natural,32,bitwise,proposed,1.6253861503810494,1.62489917742343
search,AES,spectrum,natural,1,peigen,proposed,2.2143333057466856,2.2132747413639815
search,CLEFIA_S0,max,natural,1,bitwise,proposed,3.037312761934183,3.027035121709966
search,CLEFIA_S0,max,natural,8,bitwise,proposed,3.163285190331844,3.1367620773904332
search,CLEFIA_S0,max,natural,32,bitwise,proposed,3.080693760968223,3.066092984813983
search,CLEFIA_S0,max,natural,1,peigen,proposed,8.201145843263653,8.170763979420103
search,CLEFIA_S0,min,natural,1,bitwise,proposed,4.866626156908554,4.857869293591284
search,CLEFIA_S0,min,natural,8,bitwise,proposed,4.845402004054377,4.841863923364453
search,CLEFIA_S0,min,natural,32,bitwise,proposed,4.934605491936526,4.928877987961818
search,CLEFIA_S0,min,natural,1,peigen,proposed,8.602371459253698,8.595178046926128
search,CLEFIA_S0,spectrum,natural,1,bitwise,proposed,1.5443350083219975,1.5432569561102165
search,CLEFIA_S0,spectrum,natural,8,bitwise,proposed,1.533728095793527,1.5338144483076999
search,CLEFIA_S0,spectrum,natural,32,bitwise,proposed,1.5529661445772835,1.5526006722989822
search,CLEFIA_S0,spectrum,natural,1,peigen,proposed,2.113010789881575,2.1115080416530634
search,CLEFIA_S1,max,natural,1,bitwise,proposed,2.5673364437397304,2.5598362061630673
search,CLEFIA_S1,max,natural,8,bitwise,proposed,2.633839401990671,2.6324456633868283
search,CLEFIA_S1,max,natural,32,bitwise,proposed,2.5741794193189254,2.5636957075926508
search,CLEFIA_S1,max,natural,1,peigen,proposed,7.206236666148175,7.184362338212166
search,CLEFIA_S1,min,natural,1,bitwise,proposed,4.961393319539749,4.957977052788676
search,CLEFIA_S1,min,natural,8,bitwise,proposed,4.92516192691595,4.914663510184237
search,CLEFIA_S1,min,natural,32,bitwise,proposed,4.975310481245351,4.968659812729172
search,CLEFIA_S1,min,natural,1,peigen,proposed,6.131806259842593,6.125139238004869
search,CLEFIA_S1,spectrum,natural,1,bitwise,proposed,1.6780762399868332,1.6775566074343056
search,CLEFIA_S1,spectrum,natural,8,bitwise,proposed,1.6677280351641741,1.6668369392900622
search,CLEFIA_S1,spectrum,natural,32,bitwise,proposed,1.6977535750266446,1.6971939522486597
search,CLEFIA_S1,spectrum,natural,1,peigen,proposed,2.063092476016002,2.063058623539033
search,identity_n08,max,natural,1,bitwise,proposed,5.503543844053591,5.456183713078006
search,identity_n08,max,natural,8,bitwise,proposed,5.504189905061457,5.477406767389388
search,identity_n08,max,natural,32,bitwise,proposed,5.50412527037245,5.4476372442114
search,identity_n08,max,natural,1,peigen,proposed,23.137205917836052,22.90858380295602
search,identity_n08,min,natural,1,bitwise,proposed,2.9465237324530973,2.9457843867800473
search,identity_n08,min,natural,8,bitwise,proposed,2.996420360248396,2.9947897293303947
search,identity_n08,min,natural,32,bitwise,proposed,2.9544250439460886,2.9533169896941045
search,identity_n08,min,natural,1,peigen,proposed,17.158969194775693,17.15301749450737
search,identity_n08,spectrum,natural,1,bitwise,proposed,1.8268069934953257,1.8261812961418338
search,identity_n08,spectrum,natural,8,bitwise,proposed,1.8660199093098886,1.8653714187362023
search,identity_n08,spectrum,natural,32,bitwise,proposed,1.82423423446394,1.8234077757758937
search,identity_n08,spectrum,natural,1,peigen,proposed,2.231358520801813,2.231537034004279
search,random_n08_00,max,natural,1,bitwise,proposed,2.5960544745557224,2.5889199650988406
search,random_n08_00,max,natural,8,bitwise,proposed,2.496196069874641,2.4810479950078537
search,random_n08_00,max,natural,32,bitwise,proposed,2.6145668505561233,2.604509855673964
search,random_n08_00,max,natural,1,peigen,proposed,7.199901833920842,7.172999587837022
search,random_n08_00,min,natural,1,bitwise,proposed,4.693407668682503,4.690374814882092
search,random_n08_00,min,natural,8,bitwise,proposed,4.722022401236637,4.717800447785634
search,random_n08_00,min,natural,32,bitwise,proposed,4.732841159971993,4.727057341836084
search,random_n08_00,min,natural,1,peigen,proposed,6.234025497769228,6.228178891623347
search,random_n08_00,spectrum,natural,1,bitwise,proposed,1.6066517753106875,1.6061782880924873
search,random_n08_00,spectrum,natural,8,bitwise,proposed,1.52081456612274,1.5197303631448777
search,random_n08_00,spectrum,natural,32,bitwise,proposed,1.5668399973720062,1.5664444210989084
search,random_n08_00,spectrum,natural,1,peigen,proposed,2.0749722656780456,2.0744808983355263
search,random_n08_01,max,natural,1,bitwise,proposed,2.4979142304045006,2.4897740414009064
search,random_n08_01,max,natural,8,bitwise,proposed,2.5308717096363513,2.52935644676937
search,random_n08_01,max,natural,32,bitwise,proposed,2.5037641342258863,2.494925542284068
search,random_n08_01,max,natural,1,peigen,proposed,6.814583124388717,6.7854498196965105
search,random_n08_01,min,natural,1,bitwise,proposed,4.553620716339644,4.549334188856229
search,random_n08_01,min,natural,8,bitwise,proposed,4.469388797032421,4.4673425290800175
search,random_n08_01,min,natural,32,bitwise,proposed,4.566230147604848,4.560575802911091
search,random_n08_01,min,natural,1,peigen,proposed,6.505722061207179,6.5017014551211165
search,random_n08_01,spectrum,natural,1,bitwise,proposed,1.5624510656715318,1.5625112658308704
search,random_n08_01,spectrum,natural,8,bitwise,proposed,1.5360888526401928,1.5361900760346194
search,random_n08_01,spectrum,natural,32,bitwise,proposed,1.5632456082671327,1.562623599462479
search,random_n08_01,spectrum,natural,1,peigen,proposed,2.1825495240151325,2.1819442770735447
search,random_n08_02,max,natural,1,bitwise,proposed,2.4390687805260587,2.4326954283994104
search,random_n08_02,max,natural,8,bitwise,proposed,2.4262933270295317,2.422314952031823
search,random_n08_02,max,natural,32,bitwise,proposed,2.4622372637151897,2.4533365462863133
search,random_n08_02,max,natural,1,peigen,proposed,6.673664060210521,6.650408061803486
search,random_n08_02,min,natural,1,bitwise,proposed,4.664066997226032,4.660626985852989
search,random_n08_02,min,natural,8,bitwise,proposed,4.571237113979529,4.5640807230985025
search,random_n08_02,min,natural,32,bitwise,proposed,4.647921673781004,4.642537467553266
search,random_n08_02,min,natural,1,peigen,proposed,6.578108552676526,6.573697267734027
search,random_n08_02,spectrum,natural,1,bitwise,proposed,1.5850204448276441,1.5845220425160187
search,random_n08_02,spectrum,natural,8,bitwise,proposed,1.589381162378826,1.5894869074771614
search,random_n08_02,spectrum,natural,32,bitwise,proposed,1.5669284961652525,1.566491662049752
search,random_n08_02,spectrum,natural,1,peigen,proposed,2.182189014304575,2.1816961387468687
search,random_n08_03,max,natural,1,bitwise,proposed,2.4300622702889223,2.4224328628887544
search,random_n08_03,max,natural,8,bitwise,proposed,2.394959550469516,2.3831729940664492
search,random_n08_03,max,natural,32,bitwise,proposed,2.409298847640498,2.4003718951790294
search,random_n08_03,max,natural,1,peigen,proposed,6.638478596736748,6.61221198588895
search,random_n08_03,min,natural,1,bitwise,proposed,4.582252189947139,4.578518290545523
search,random_n08_03,min,natural,8,bitwise,proposed,4.577461530873033,4.568666563300618
search,random_n08_03,min,natural,32,bitwise,proposed,4.571527352958095,4.5661915051438005
search,random_n08_03,min,natural,1,peigen,proposed,6.500125580733334,6.4955853323779005
search,random_n08_03,spectrum,natural,1,bitwise,proposed,1.5481150164628303,1.547689887749285
search,random_n08_03,spectrum,natural,8,bitwise,proposed,1.5411805976228845,1.5400870916299618
search,random_n08_03,spectrum,natural,32,bitwise,proposed,1.5613242444999422,1.5609214726633838
search,random_n08_03,spectrum,natural,1,peigen,proposed,2.1649952220349094,2.164549865987268
search,random_n08_04,max,natural,1,bitwise,proposed,2.464568492788092,2.4581267794823676
search,random_n08_04,max,natural,8,bitwise,proposed,2.4693186307099113,2.451809148257229
search,random_n08_04,max,natural,32,bitwise,proposed,2.4662447202903026,2.458121044029772
search,random_n08_04,max,natural,1,peigen,proposed,6.785549113170993,6.760785496663678
search,random_n08_04,min,natural,1,bitwise,proposed,4.633998086529175,4.628872951264514
search,random_n08_04,min,natural,8,bitwise,proposed,4.5797393885831195,4.577791420104407
search,random_n08_04,min,natural,32,bitwise,proposed,4.626745213913572,4.621056526333721
search,random_n08_04,min,natural,1,peigen,proposed,6.31241409343912,6.306813494662305
search,random_n08_04,spectrum,natural,1,bitwise,proposed,1.5404796899665913,1.5401639807419907
search,random_n08_04,spectrum,natural,8,bitwise,proposed,1.55909334033272,1.558783796434866
search,random_n08_04,spectrum,natural,32,bitwise,proposed,1.5629009494513275,1.562591735939192
search,random_n08_04,spectrum,natural,1,peigen,proposed,2.083593994285503,2.0830546220483854
search,random_n08_05,max,natural,1,bitwise,proposed,2.5006390281631368,2.4947828501662754
search,random_n08_05,max,natural,8,bitwise,proposed,2.517643683210722,2.51615224770583
search,random_n08_05,max,natural,32,bitwise,proposed,2.488674206998395,2.4795133112561447
search,random_n08_05,max,natural,1,peigen,proposed,6.912609325221404,6.893458782562801
search,random_n08_05,min,natural,1,bitwise,proposed,4.752522294043009,4.749806575488558
search,random_n08_05,min,natural,8,bitwise,proposed,4.626866142755514,4.618318795381659
search,random_n08_05,min,natural,32,bitwise,proposed,4.713437386196789,4.707616252109252
search,random_n08_05,min,natural,1,peigen,proposed,6.566677461348061,6.55971442515113
search,random_n08_05,spectrum,natural,1,bitwise,proposed,1.5375957915644152,1.5376328919286057
search,random_n08_05,spectrum,natural,8,bitwise,proposed,1.5465245398431087,1.5453870470396758
search,random_n08_05,spectrum,natural,32,bitwise,proposed,1.5442422210714126,1.5438213515379602
search,random_n08_05,spectrum,natural,1,peigen,proposed,2.143890420914625,2.1434538829231666
search,random_n08_06,max,natural,1,bitwise,proposed,2.4193637449683685,2.413085697351868
search,random_n08_06,max,natural,8,bitwise,proposed,2.3796401648180168,2.368467802528334
search,random_n08_06,max,natural,32,bitwise,proposed,2.40239433921758,2.3944222749227233
search,random_n08_06,max,natural,1,peigen,proposed,6.63179428806907,6.608473376759992
search,random_n08_06,min,natural,1,bitwise,proposed,4.665205492926878,4.662868888839225
search,random_n08_06,min,natural,8,bitwise,proposed,4.670387451427965,4.661233739909607
search,random_n08_06,min,natural,32,bitwise,proposed,4.7177188466633,4.7118202467526675
search,random_n08_06,min,natural,1,peigen,proposed,6.338737294286791,6.333490816667828
search,random_n08_06,spectrum,natural,1,bitwise,proposed,1.609139380111993,1.6080154459489628
search,random_n08_06,spectrum,natural,8,bitwise,proposed,1.6129737649571885,1.6130612337236991
search,random_n08_06,spectrum,natural,32,bitwise,proposed,1.6176294064821006,1.61736259970444
search,random_n08_06,spectrum,natural,1,peigen,proposed,2.1109467688588297,2.110348433399802
search,random_n08_07,max,natural,1,bitwise,proposed,2.476448713296499,2.469727384194057
search,random_n08_07,max,natural,8,bitwise,proposed,2.4773511812798272,2.472005081014552
search,random_n08_07,max,natural,32,bitwise,proposed,2.485574480107514,2.475584533611001
search,random_n08_07,max,natural,1,peigen,proposed,6.775241905913685,6.749693507009707
search,random_n08_07,min,natural,1,bitwise,proposed,4.7102358605437376,4.706091076154989
search,random_n08_07,min,natural,8,bitwise,proposed,4.703234765002861,4.695972075421961
search,random_n08_07,min,natural,32,bitwise,proposed,4.720019698102367,4.714246471167165
search,random_n08_07,min,natural,1,peigen,proposed,6.5470682718990245,6.539937373430198
search,random_n08_07,spectrum,natural,1,bitwise,proposed,1.6244060506033362,1.6231714437569063
search,random_n08_07,spectrum,natural,8,bitwise,proposed,1.6527634068563726,1.6517422689809094
search,random_n08_07,spectrum,natural,32,bitwise,proposed,1.6508130305705084,1.650316918019534
search,random_n08_07,spectrum,natural,1,peigen,proposed,2.2150178584296194,2.2133208377172964
search,random_n08_08,max,natural,1,bitwise,proposed,2.4543035407884735,2.4480383026149117
search,random_n08_08,max,natural,8,bitwise,proposed,2.44528029951965,2.4398010127257828
search,random_n08_08,max,natural,32,bitwise,proposed,2.456988663468784,2.434505760837521
search,random_n08_08,max,natural,1,peigen,proposed,6.715895475996268,6.691248694698704
search,random_n08_08,min,natural,1,bitwise,proposed,4.640369942179252,4.6356050199305034
search,random_n08_08,min,natural,8,bitwise,proposed,4.672644850067146,4.667221197990991
search,random_n08_08,min,natural,32,bitwise,proposed,4.679440470779683,4.673013860754218
search,random_n08_08,min,natural,1,peigen,proposed,6.437781146802336,6.432811527789935
search,random_n08_08,spectrum,natural,1,bitwise,proposed,1.6274112822397397,1.626931215873567
search,random_n08_08,spectrum,natural,8,bitwise,proposed,1.6160973954773168,1.6156536247324276
search,random_n08_08,spectrum,natural,32,bitwise,proposed,1.6082683754115743,1.6077720494497458
search,random_n08_08,spectrum,natural,1,peigen,proposed,2.2627473216538805,2.262233172982404
search,random_n08_09,max,natural,1,bitwise,proposed,2.3431551761478753,2.33711232826587
search,random_n08_09,max,natural,8,bitwise,proposed,2.3547636995458396,2.349843125680573
search,random_n08_09,max,natural,32,bitwise,proposed,2.366682815915221,2.3584564750482837
search,random_n08_09,max,natural,1,peigen,proposed,6.487268415000516,6.462874722467542
search,random_n08_09,min,natural,1,bitwise,proposed,4.597914641286885,4.594997576585218
search,random_n08_09,min,natural,8,bitwise,proposed,4.572934738470851,4.565432309538595
search,random_n08_09,min,natural,32,bitwise,proposed,4.713218201161051,4.707025325740736
search,random_n08_09,min,natural,1,peigen,proposed,6.903536269045283,6.896806340968017
search,random_n08_09,spectrum,natural,1,bitwise,proposed,1.5647055547848283,1.5635675527415716
search,random_n08_09,spectrum,natural,8,bitwise,proposed,1.5522986848918714,1.5523442493005115
search,random_n08_09,spectrum,natural,32,bitwise,proposed,1.5618988363374755,1.5614199150881019
search,random_n08_09,spectrum,natural,1,peigen,proposed,2.282830261992158,2.2822902897777255
