group,case,metric,profile,threads,baseline,proposed,paired_algorithm_speedup,paired_batch_total_speedup
A,random_n08_00,spectrum,natural,2,reference,reference-proposed,61.107682310469315,15.380693979681046
A,random_n08_00,spectrum,natural,4,reference,reference-proposed,43.50296076980015,11.474759493499732
A,random_n08_00,spectrum,natural,8,reference,reference-proposed,22.953619806857215,6.721096171651705
A,random_n08_00,spectrum,natural,16,reference,reference-proposed,12.222622217686192,4.220852167555429
A,random_n08_00,spectrum,natural,32,reference,reference-proposed,10.238980232508135,3.8609342505987523
A,random_n08_00,spectrum,natural,64,reference,reference-proposed,12.555630976623439,5.173189328540111
A,random_n12_00,max,high,1,reference,reference-proposed,26.932111492936237,2.2245943063000526
A,random_n12_00,max,high,2,reference,reference-proposed,24.64800330662597,2.5710958783724402
A,random_n12_00,max,high,4,reference,reference-proposed,15.476544404881253,1.8460539284864588
A,random_n12_00,max,high,8,reference,reference-proposed,12.526360574366247,1.8125881718536379
A,random_n12_00,max,high,16,reference,reference-proposed,8.277886556014098,1.6036604135983499
A,random_n12_00,max,high,32,reference,reference-proposed,7.895821283979179,1.658987487288323
A,random_n12_00,max,high,64,reference,reference-proposed,7.4880383823336105,1.6467145376835624
A,random_n12_00,max,natural,1,reference,reference-proposed,187.1871745683749,2.1646400238816965
A,random_n12_00,max,natural,2,reference,reference-proposed,101.94712086659065,2.29599868690346
A,random_n12_00,max,natural,4,reference,reference-proposed,70.90569135352061,1.9875981141241528
A,random_n12_00,max,natural,8,reference,reference-proposed,36.43533720636525,1.776848430866975
A,random_n12_00,max,natural,16,reference,reference-proposed,18.294013814274752,1.6142881822787563
A,random_n12_00,max,natural,32,reference,reference-proposed,20.201416371589254,1.7161135944120092
A,random_n12_00,max,natural,64,reference,reference-proposed,38.341525310538266,1.7737557627496587
A,random_n12_00,min,static,1,reference,reference-proposed,575.0503109320211,355.7439625859385
A,random_n12_00,min,static,2,reference,reference-proposed,183.036378190317,132.99295506029068
A,random_n12_00,min,static,4,reference,reference-proposed,125.63658746922299,91.38605484205677
A,random_n12_00,min,static,8,reference,reference-proposed,83.67261701128034,59.9819561679385
A,random_n12_00,min,static,16,reference,reference-proposed,41.199879011637336,34.095294070374756
A,random_n12_00,min,static,32,reference,reference-proposed,13.733422859219163,14.143779202946575
A,random_n12_00,min,static,64,reference,reference-proposed,5.311315824063421,6.753122399880836
A,random_n12_00,spectrum,high,1,reference,reference-proposed,48.07480930051704,7.971485340667585
A,random_n12_00,spectrum,high,2,reference,reference-proposed,24.04802309177919,3.5678156519354918
A,random_n12_00,spectrum,high,4,reference,reference-proposed,22.974923496981482,2.464424011107405
A,random_n12_00,spectrum,high,8,reference,reference-proposed,18.181088851834897,1.7642244529100626
A,random_n12_00,spectrum,high,16,reference,reference-proposed,15.761504464309688,1.2517890772269662
A,random_n12_00,spectrum,high,32,reference,reference-proposed,10.314906617417812,0.7701922946820361
A,random_n12_00,spectrum,high,64,reference,reference-proposed,10.76893303213715,0.6502905115555122
A,random_n12_00,spectrum,natural,1,reference,reference-proposed,124.6998548169028,8.498596480645775
