group,case,metric,profile,method,binary,threads,core_speedup,core_q1,core_q3,total_speedup,total_q1,total_q3
A,random_n08_00,min,static,reference,coam,2,1.4672209943748826,1.4558647257494872,1.5872503991139872,1.4197355918133643,1.407672552982194,1.571159949677127
A,random_n08_00,min,static,reference,coam,4,2.827062416406979,2.802870283011733,2.835989866125753,2.65386016777063,2.629980062814087,2.680467667139359
A,random_n08_00,min,static,reference,coam,8,4.452987672572871,4.437376825512316,4.510010107417742,4.273901156677182,4.261559233749342,4.2954221905558265
A,random_n08_00,min,static,reference,coam,16,5.5556011785070645,5.550203519251134,5.601397372645701,5.3310992799521495,5.329915852670176,5.369574561185322
A,random_n08_00,min,static,reference,coam,32,4.747652160930695,4.66965043467922,4.8580269044611715,4.507383200193658,4.448581828720111,4.65285585226256
A,random_n08_00,min,static,reference,coam,64,3.1783667263794815,3.145738838488546,3.2548747560425753,3.0947606303481323,3.0381038003716965,3.165665302812339
A,random_n08_00,min,static,reference-proposed,coam,1,1.0,1.0,1.0,1.0,1.0,1.0
A,random_n08_00,min,static,reference-proposed,coam,2,0.49303434630409415,0.4693996287846731,0.7542098026612041,0.4890827629846751,0.4589030325218294,0.7606908550502463
A,random_n08_00,min,static,reference-proposed,coam,4,0.998756461774046,0.7257040326159039,0.9995772671325709,0.9839984195969972,0.7132767700307472,0.9925151053632921
A,random_n08_00,min,static,reference-proposed,coam,8,0.9856942322777755,0.738280998349212,1.0005928510161382,0.8188896432350441,0.6553877427143323,0.9395803835061456
A,random_n08_00,min,static,reference-proposed,coam,16,0.9998765355886166,0.9912286136082211,1.0083274592480158,0.9720850891585773,0.9700319889634841,0.9940245656580239
A,random_n08_00,min,static,reference-proposed,coam,32,1.0018884156192953,0.982248680656266,1.009707871586504,0.9216693225491115,0.9180143971138193,0.9243240223900706
A,random_n08_00,min,static,reference-proposed,coam,64,1.016139836717605,0.9740638481117962,1.0165620541073976,0.9385062003224028,0.902889157579453,0.9477801316979944
A,random_n08_00,spectrum,high,reference,coam,1,1.0,1.0,1.0,1.0,1.0,1.0
A,random_n08_00,spectrum,high,reference,coam,2,1.1255308890040108,1.0662634480960187,1.1628241078718653,1.1668185918702538,1.084909539450231,1.1671274438234183
A,random_n08_00,spectrum,high,reference,coam,4,1.9541567014306975,1.9464329951621049,1.9581198399631055,1.8947217802544634,1.8922271697157107,1.916288152871949
A,random_n08_00,spectrum,high,reference,coam,8,3.5225259099441066,3.4908074425278723,3.5290169632424666,3.3858204872253523,3.3681929015346372,3.4250591134016375
A,random_n08_00,spectrum,high,reference,coam,16,4.935952918424632,4.908283390314759,4.9893859975464725,4.782239068121833,4.761250614172794,4.861758898061515
A,random_n08_00,spectrum,high,reference,coam,32,4.7189979475842545,4.654883220207642,4.742878769090526,4.495497856234942,4.475468991638417,4.589493677002978
A,random_n08_00,spectrum,high,reference,coam,64,3.3162648223283586,3.274950902619926,3.3598609989704484,3.238157423306753,3.2031840162515195,3.2876913327214004
A,random_n08_00,spectrum,high,reference-proposed,coam,1,1.0,1.0,1.0,1.0,1.0,1.0
A,random_n08_00,spectrum,high,reference-proposed,coam,2,0.5592658508258775,0.4990116616921062,0.7172694256235236,0.6994709291579754,0.5798972356175299,0.7115051955786895
A,random_n08_00,spectrum,high,reference-proposed,coam,4,0.5517600814793596,0.49612840346963216,0.5646887308604269,0.6989098258904415,0.5781161711211183,0.7108905352335391
A,random_n08_00,spectrum,high,reference-proposed,coam,8,0.5686026734212063,0.5489397291991654,0.5739409249228014,0.7121947367182958,0.6988033386189205,0.7290852942156172
