group,case,metric,profile,method,binary,threads,n,steps,repeats,kernel_us_per_step,kernel_us_q1,kernel_us_q3,paired_hardware_speedup,parallel_efficiency,process_seconds,init_ms,context_ms,kernel_ms,total_ms
A,random_n08_00,min,static,reference,coam,2,8,16,3,285.8718125,264.005875,286.2451875,1.4672209943748826,0.7336104971874413,0.010113654658198357,0.491414,0.013541,4.573949,5.078814
A,random_n08_00,min,static,reference,coam,4,8,16,3,146.449875,145.88093750000002,148.69915625,2.827062416406979,0.7067656041017447,0.008284437470138073,0.309064,0.028666,2.343198,2.681399
A,random_n08_00,min,static,reference,coam,8,8,16,3,92.8366875,92.3384375,93.2348125,4.452987672572871,0.5566234590716089,0.00728448573499918,0.168148,0.010715,1.485387,1.670296
A,random_n08_00,min,static,reference,coam,16,8,16,3,74.556375,73.93559375000001,75.02721875,5.5556011785070645,0.34722507365669153,0.006742749363183975,0.129269,0.013521,1.192902,1.334809
A,random_n08_00,min,static,reference,coam,32,8,16,3,87.07475,85.74784374999999,88.62171875,4.747652160930695,0.14836413002908422,0.007862824946641922,0.164861,0.013491,1.393196,1.578042
A,random_n08_00,min,static,reference,coam,64,8,16,3,130.067,127.98590625,131.53015625,3.1783667263794815,0.0496619800996794,0.010162156075239182,0.203044,0.014233,2.081072,2.298349
A,random_n08_00,min,static,reference-proposed,coam,1,8,16,3,6.067625,6.0181249999999995,6.07075,1.0,1.0,0.005088351666927338,0.025569,0.012819,0.097082,0.134487
A,random_n08_00,min,static,reference-proposed,coam,2,8,16,3,12.319375,9.14753125,12.854500000000002,0.49303434630409415,0.24651717315204708,0.005237840116024017,0.050956,0.026912,0.19711,0.274978
A,random_n08_00,min,static,reference-proposed,coam,4,8,16,3,6.0814375,6.023843749999999,9.74303125,0.998756461774046,0.2496891154435115,0.005004049278795719,0.025569,0.013802,0.097303,0.136674
A,random_n08_00,min,static,reference-proposed,coam,8,8,16,3,6.05525,6.01515625,9.2145,0.9856942322777755,0.12321177903472194,0.005442488938570023,0.0433,0.023313,0.096884,0.163497
A,random_n08_00,min,static,reference-proposed,coam,16,8,16,3,6.0744375,6.02096875,6.07453125,0.9998765355886166,0.062492283474288535,0.005941396579146385,0.027303,0.01326,0.097191,0.138315
A,random_n08_00,min,static,reference-proposed,coam,32,8,16,3,5.96925,5.9633125,6.13628125,1.0018884156192953,0.03130901298810298,0.0064574722200632095,0.035069,0.014504,0.095508,0.146426
A,random_n08_00,min,static,reference-proposed,coam,64,8,16,3,5.9724375,5.97184375,6.1883125,1.016139836717605,0.01587718494871258,0.008048096671700478,0.034941,0.013351,0.095559,0.143832
A,random_n08_00,spectrum,high,reference,coam,1,8,16,3,443.081625,442.86749999999995,443.27384374999997,1.0,1.0,0.012725559994578362,0.484653,0.014022,7.089306,7.58279
A,random_n08_00,spectrum,high,reference,coam,2,8,16,3,393.6645625,381.25315624999996,417.02484375,1.1255308890040108,0.5627654445020054,0.012256630696356297,0.501135,0.027273,6.298633,6.570119
A,random_n08_00,spectrum,high,reference,coam,4,8,16,3,226.93475,226.37840625,227.62925,1.9541567014306975,0.4885391753576744,0.009651394560933113,0.318749,0.029117,3.630956,4.001046
A,random_n08_00,spectrum,high,reference,coam,8,8,16,3,125.663625,125.54784375,126.8778125,3.5225259099441066,0.44031573874301333,0.00813053734600544,0.203469,0.024657,2.010618,2.239005
A,random_n08_00,spectrum,high,reference,coam,16,8,16,3,89.8440625,88.85396875,90.27015625000001,4.935952918424632,0.3084970574015395,0.007339988835155964,0.133968,0.01304,1.437505,1.585615
A,random_n08_00,spectrum,high,reference,coam,32,8,16,3,93.974625,93.46350000000001,95.19856250000001,4.7189979475842545,0.14746868586200795,0.009154796600341797,0.144905,0.013821,1.503594,1.686752
A,random_n08_00,spectrum,high,reference,coam,64,8,16,3,133.7245625,131.95515625000002,135.30740624999999,3.3162648223283586,0.0518166378488806,0.010281696915626526,0.188445,0.013742,2.139593,2.341699
A,random_n08_00,spectrum,high,reference-proposed,coam,1,8,16,3,12.5990625,12.1091875,12.800437500000001,1.0,1.0,0.00486223679035902,0.208662,0.01281,0.201585,0.423857
A,random_n08_00,spectrum,high,reference-proposed,coam,2,8,16,3,23.248,18.82121875,24.86515625,0.5592658508258775,0.27963292541293877,0.006372539326548576,0.348144,0.027513,0.371968,0.606951
A,random_n08_00,spectrum,high,reference-proposed,coam,4,8,16,3,23.56425,22.6881875,24.971,0.5517600814793596,0.1379400203698399,0.00626646913588047,0.238523,0.012789,0.377028,0.62834
A,random_n08_00,spectrum,high,reference-proposed,coam,8,8,16,3,22.1579375,22.0555625,22.301375,0.5686026734212063,0.07107533417765079,0.006659981794655323,0.230251,0.010916,0.354527,0.594212
A,random_n08_00,spectrum,high,reference-proposed,coam,16,8,16,3,36.74775,35.374375,36.891562500000006,0.34173443428134465,0.02135840214258404,0.006764242425560951,0.219341,0.013852,0.587964,0.821157
A,random_n08_00,spectrum,high,reference-proposed,coam,32,8,16,3,57.1225625,56.4576875,57.429781250000005,0.22056192769713368,0.006892560240535427,0.007585801184177399,0.256804,0.013671,0.913961,1.184567
A,random_n08_00,spectrum,high,reference-proposed,coam,64,8,16,3,91.202375,90.45609375000001,93.24946875,0.13220899232330652,0.0020657655050516643,0.009851701557636261,0.280948,0.013271,1.459238,1.753457
A,random_n08_00,spectrum,natural,reference,coam,1,8,16,3,432.8266875,432.60075,432.9535625,1.0,1.0,0.012372502125799656,0.477673,0.01324,6.925227,7.419659
