group,case,metric,method,original_over_new_serial_kernel,original_over_new_serial_total
B,AES,max,bitwise,1.1243114815388504,1.1318172034937557
B,AES,max,proposed,1.0079572503379066,1.0126738446092987
B,AES,min,bitwise,1.0385118787480119,1.0372735187564435
B,AES,min,proposed,0.9562086422186927,0.9550291438031864
B,AES,spectrum,bitwise,1.0120300178268844,1.0122469840880581
B,AES,spectrum,proposed,0.8790358191702599,0.897529537411075
B,CLEFIA_S0,max,bitwise,1.0712029173693924,1.0693979734934524
B,CLEFIA_S0,max,proposed,0.9841402245784264,0.9811986416934447
B,CLEFIA_S0,min,bitwise,1.0098992372111408,1.0087372076710275
B,CLEFIA_S0,min,proposed,0.9655887037600444,0.9504963883661441
B,CLEFIA_S0,spectrum,bitwise,1.024974204753232,1.0239846052629258
B,CLEFIA_S0,spectrum,proposed,0.9233024326290213,0.9464301802284925
B,CLEFIA_S1,max,bitwise,1.0682339102938248,1.0670190184528046
B,CLEFIA_S1,max,proposed,0.9694210636760009,0.987041306018297
B,CLEFIA_S1,min,bitwise,1.0312276913488294,1.0301254288890491
B,CLEFIA_S1,min,proposed,0.9746605863931805,0.9755305421666011
B,CLEFIA_S1,spectrum,bitwise,1.0204818543403786,1.0170374857397875
B,CLEFIA_S1,spectrum,proposed,0.872660980364279,0.8744485755343172
B,MISTY1_FI_key0000,max,bitwise,1.3496984596351587,1.3272863870644949
B,MISTY1_FI_key0000,max,proposed,1.140492837601125,1.0215577029745495
B,MISTY1_FI_key0000,min,bitwise,1.0024028275440675,1.0023720568517793
B,MISTY1_FI_key0000,min,proposed,0.9682182595597881,0.9720863361872812
B,MISTY1_FI_key0000,spectrum,bitwise,0.9350347898502586,0.9537501809745753
B,MISTY1_FI_key0000,spectrum,proposed,0.9811055046727217,0.9879982467600115
B,MISTY1_S9,max,bitwise,1.1487870847327157,1.1463183416473315
B,MISTY1_S9,max,proposed,1.06229433746567,1.0961757347585455
B,MISTY1_S9,min,bitwise,0.9936583919677251,0.9958221665776537
B,MISTY1_S9,min,proposed,0.9879127536799417,0.9918004333201661
B,MISTY1_S9,spectrum,bitwise,1.027819866515409,1.01004757589488
B,MISTY1_S9,spectrum,proposed,0.8861211409875375,0.9117411601034806
B,PRESENT,max,bitwise,0.8900725839050023,0.8906345806804081
B,PRESENT,max,proposed,0.85914032140683,0.8552900735802531
B,PRESENT,min,bitwise,0.9173866210387733,0.9171676793313497
B,PRESENT,min,proposed,0.904889056971169,0.9055353746937407
B,PRESENT,spectrum,bitwise,0.8401014940779138,0.8403089175964003
B,PRESENT,spectrum,proposed,0.7620741792212127,0.7626100718662282
B,random_n08_00,max,bitwise,1.0801580793757068,1.0788799657233803
B,random_n08_00,max,proposed,1.038376461722077,1.0814492620209273
B,random_n08_00,min,bitwise,1.048981697902217,1.0480702113651428
B,random_n08_00,min,proposed,0.9936672827955806,0.9928143612081793
B,random_n08_00,spectrum,bitwise,1.0114832047598874,1.0102159884906112
B,random_n08_00,spectrum,proposed,0.8651908847543528,0.8669506462326796
B,random_n08_01,max,bitwise,1.1380692174949498,1.1438348613002904
B,random_n08_01,max,proposed,0.9855464399388698,0.9853171088668685
B,random_n08_01,min,bitwise,1.0242602756426922,1.0241735773898177
B,random_n08_01,min,proposed,0.969146797113681,0.9675197122955617
B,random_n08_01,spectrum,bitwise,1.0159599401067672,1.010434152633718
B,random_n08_01,spectrum,proposed,0.8635559164161676,0.8567746722676347
B,random_n12_00,max,bitwise,1.2872339659773973,1.28017676885436
B,random_n12_00,max,proposed,1.0293303244693828,1.028489363570402
B,random_n12_00,min,bitwise,0.9560556740225585,0.9593197795886411
B,random_n12_00,min,proposed,0.9962228224212174,0.9979542100987628
B,random_n12_00,spectrum,bitwise,0.9554639210949676,0.9560513988771017
B,random_n12_00,spectrum,proposed,0.9167915474135929,0.9345895465036775
B,random_n12_01,max,bitwise,1.2922152116836672,1.285708965844464
B,random_n12_01,max,proposed,1.0193468628504416,1.0071884369109079
B,random_n12_01,min,bitwise,0.9509104998979092,0.9514810861750422
B,random_n12_01,min,proposed,0.9886502407129777,0.9877196026812303
B,random_n12_01,spectrum,bitwise,0.9526813641827461,0.9536123950032608
B,random_n12_01,spectrum,proposed,0.9185694842017498,0.9300296505708097
B,random_n16_00,max,bitwise,1.2705555182060086,1.2566648005704277
B,random_n16_00,max,proposed,1.1307436579705323,1.0387521606555472
B,random_n16_00,min,bitwise,0.9149900709026539,0.9135992536530999
B,random_n16_00,min,proposed,0.9906952122841092,1.005900297140823
B,random_n16_00,spectrum,bitwise,0.96913140884022,0.96915238519531
B,random_n16_00,spectrum,proposed,0.9807587622775836,0.9809131581458232
B,random_n16_01,max,bitwise,1.2728784116164944,1.260658221474753
B,random_n16_01,max,proposed,1.1349126260848403,1.0570859012831328
B,random_n16_01,min,bitwise,0.9593849961138233,0.9555230784098897
B,random_n16_01,min,proposed,0.9909281893683204,1.0001137622388934
B,random_n16_01,spectrum,bitwise,0.9326266864849345,0.9326616114595668
B,random_n16_01,spectrum,proposed,0.9844839658719765,0.9882156384435293
