case,n,m,metric,profile,method,steps,group,scalar_mobius_xor,scalar_component_xor,scalar_elimination_xor,scalar_coefficient_updates,scalar_rollback_xor,scalar_degree_checks,pivot_checks,delta_candidates,delta_coefficients,word_mobius_xor,word_component_xor,word_elimination_xor,word_coefficient_updates,word_rollback_xor,word_degree_checks,top_guard_checks,top_guard_kept,top_guard_fallback,degree_drops,scalar_guard_checks,scalar_guard_kept,scalar_guard_fallback,scalar_degree_drops
random_n06_05,6,6,spectrum,natural,reference-proposed,1152,random,0,0,0,534528,0,26570,0,25632,16704,0,0,0,0,0,0,0,0,0,0,59757,29579,6671,615
random_n06_05,6,6,spectrum,high,reference,768,random,884736,9437184,0,0,0,3096576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n06_05,6,6,spectrum,high,reference-proposed,768,random,0,0,0,1305216,0,16662,0,57516,40788,0,0,0,0,0,0,0,0,0,0,40480,20037,4166,374
random_n06_06,6,6,min,static,reference,1152,random,1327104,14155776,0,0,0,4644864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n06_06,6,6,min,static,reference-proposed,1152,random,1327104,0,368640,0,0,0,35712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n06_06,6,6,max,natural,reference,4992,random,5750784,0,0,0,0,1916928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n06_06,6,6,max,natural,reference-proposed,4992,random,0,0,0,235692,0,9316,0,114075,77103,0,0,0,0,0,0,0,0,0,0,25883,12812,2218,237
random_n06_06,6,6,max,high,reference,3456,random,3981312,0,0,0,0,1327104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n06_06,6,6,max,high,reference-proposed,3456,random,0,0,0,565220,0,7105,0,258822,183546,0,0,0,0,0,0,0,0,0,0,17595,8699,1776,153
random_n06_06,6,6,spectrum,natural,reference,1152,random,1327104,14155776,0,0,0,4644864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n06_06,6,6,spectrum,natural,reference-proposed,1152,random,0,0,0,569376,0,22379,0,26325,17793,0,0,0,0,0,0,0,0,0,0,62294,30894,5383,590
random_n06_06,6,6,spectrum,high,reference,768,random,884736,9437184,0,0,0,3096576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n06_06,6,6,spectrum,high,reference-proposed,768,random,0,0,0,1305216,0,16444,0,57516,40788,0,0,0,0,0,0,0,0,0,0,40423,20086,4116,375
random_n06_07,6,6,min,static,reference,1152,random,1327104,14155776,0,0,0,4644864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n06_07,6,6,min,static,reference-proposed,1152,random,1327104,0,516096,0,0,0,36864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n06_07,6,6,max,natural,reference,4992,random,5750784,0,0,0,0,1916928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n06_07,6,6,max,natural,reference-proposed,4992,random,0,0,0,227553,0,9944,0,110487,74997,0,0,0,0,0,0,0,0,0,0,25069,12389,2524,250
random_n06_07,6,6,max,high,reference,3456,random,3981312,0,0,0,0,1327104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n06_07,6,6,max,high,reference-proposed,3456,random,0,0,0,558500,0,7283,0,258822,183546,0,0,0,0,0,0,0,0,0,0,17303,8528,1811,182
random_n06_07,6,6,spectrum,natural,reference,1152,random,1327104,14155776,0,0,0,4644864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n06_07,6,6,spectrum,natural,reference-proposed,1152,random,0,0,0,553824,0,24191,0,25497,17307,0,0,0,0,0,0,0,0,0,0,60830,30166,6113,587
random_n06_07,6,6,spectrum,high,reference,768,random,884736,9437184,0,0,0,3096576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n06_07,6,6,spectrum,high,reference-proposed,768,random,0,0,0,1305216,0,16372,0,57516,40788,0,0,0,0,0,0,0,0,0,0,40350,20083,4114,379
random_n06_08,6,6,min,static,reference,1152,random,1327104,14155776,0,0,0,4644864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n06_08,6,6,min,static,reference-proposed,1152,random,1327104,0,663552,0,0,0,33408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n06_08,6,6,max,natural,reference,4992,random,5750784,0,0,0,0,1916928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n06_08,6,6,max,natural,reference-proposed,4992,random,0,0,0,227026,0,8878,0,105846,74880,0,0,0,0,0,0,0,0,0,0,25704,12727,2162,220
random_n06_08,6,6,max,high,reference,3456,random,3981312,0,0,0,0,1327104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n06_08,6,6,max,high,reference-proposed,3456,random,0,0,0,582179,0,7330,0,258822,183546,0,0,0,0,0,0,0,0,0,0,17991,8970,1834,152
random_n06_08,6,6,spectrum,natural,reference,1152,random,1327104,14155776,0,0,0,4644864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n06_08,6,6,spectrum,natural,reference-proposed,1152,random,0,0,0,552960,0,22293,0,24426,17280,0,0,0,0,0,0,0,0,0,0,62401,30919,5358,590
random_n06_08,6,6,spectrum,high,reference,768,random,884736,9437184,0,0,0,3096576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n06_08,6,6,spectrum,high,reference-proposed,768,random,0,0,0,1305216,0,16559,0,57516,40788,0,0,0,0,0,0,0,0,0,0,40372,20053,4125,401
random_n06_09,6,6,min,static,reference,1152,random,1327104,14155776,0,0,0,4644864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n06_09,6,6,min,static,reference-proposed,1152,random,1327104,0,221184,0,0,0,40320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n06_09,6,6,max,natural,reference,4992,random,5750784,0,0,0,0,1916928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n06_09,6,6,max,natural,reference-proposed,4992,random,0,0,0,228121,0,9553,0,110019,74529,0,0,0,0,0,0,0,0,0,0,25221,12529,2429,231
random_n06_09,6,6,max,high,reference,3456,random,3981312,0,0,0,0,1327104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n06_09,6,6,max,high,reference-proposed,3456,random,0,0,0,564524,0,7008,0,258822,183546,0,0,0,0,0,0,0,0,0,0,17492,8661,1800,163
random_n06_09,6,6,spectrum,natural,reference,1152,random,1327104,14155776,0,0,0,4644864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n06_09,6,6,spectrum,natural,reference-proposed,1152,random,0,0,0,550368,0,23696,0,25389,17199,0,0,0,0,0,0,0,0,0,0,61319,30360,5954,550
random_n06_09,6,6,spectrum,high,reference,768,random,884736,9437184,0,0,0,3096576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n06_09,6,6,spectrum,high,reference-proposed,768,random,0,0,0,1305216,0,16397,0,57516,40788,0,0,0,0,0,0,0,0,0,0,40284,20079,4105,392
random_n07_00,7,7,min,static,reference,384,random,1204224,22020096,0,0,0,6242304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_00,7,7,min,static,reference-proposed,384,random,1204224,0,442368,0,0,0,15744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_00,7,7,max,natural,reference,2176,random,6823936,0,0,0,0,1949696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_00,7,7,max,natural,reference-proposed,2176,random,0,0,0,185622,0,3436,0,71145,53125,0,0,0,0,0,0,0,0,0,0,13529,6726,844,52
random_n07_00,7,7,max,high,reference,2176,random,6823936,0,0,0,0,1949696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_00,7,7,max,high,reference-proposed,2176,random,0,0,0,880506,0,3798,0,314619,242437,0,0,0,0,0,0,0,0,0,0,13683,6861,970,49
random_n07_00,7,7,spectrum,natural,reference,640,random,2007040,36700160,0,0,0,10403840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_00,7,7,spectrum,natural,reference-proposed,640,random,0,0,0,1000000,0,18044,0,20925,15625,0,0,0,0,0,0,0,0,0,0,72356,36226,4454,280
random_n07_00,7,7,spectrum,high,reference,256,random,802816,14680064,0,0,0,4161536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_00,7,7,spectrum,high,reference-proposed,256,random,0,0,0,1825408,0,8649,0,37014,28522,0,0,0,0,0,0,0,0,0,0,28309,14125,2106,152
random_n07_01,7,7,min,static,reference,384,random,1204224,22020096,0,0,0,6242304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_01,7,7,min,static,reference-proposed,384,random,1204224,0,491520,0,0,0,16128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_01,7,7,max,natural,reference,2176,random,6823936,0,0,0,0,1949696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_01,7,7,max,natural,reference-proposed,2176,random,0,0,0,195992,0,3844,0,74885,55369,0,0,0,0,0,0,0,0,0,0,13517,6676,958,61
random_n07_01,7,7,max,high,reference,2176,random,6823936,0,0,0,0,1949696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_01,7,7,max,high,reference-proposed,2176,random,0,0,0,789192,0,3554,0,314619,242437,0,0,0,0,0,0,0,0,0,0,12301,6146,905,53
random_n07_01,7,7,spectrum,natural,reference,640,random,2007040,36700160,0,0,0,10403840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_01,7,7,spectrum,natural,reference-proposed,640,random,0,0,0,1042240,0,20241,0,22025,16285,0,0,0,0,0,0,0,0,0,0,71607,35637,5029,294
random_n07_01,7,7,spectrum,high,reference,256,random,802816,14680064,0,0,0,4161536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_01,7,7,spectrum,high,reference-proposed,256,random,0,0,0,1825408,0,8374,0,37014,28522,0,0,0,0,0,0,0,0,0,0,28383,14145,2118,120
random_n07_02,7,7,min,static,reference,384,random,1204224,22020096,0,0,0,6242304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_02,7,7,min,static,reference-proposed,384,random,1204224,0,294912,0,0,0,19200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_02,7,7,max,natural,reference,2176,random,6823936,0,0,0,0,1949696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_02,7,7,max,natural,reference-proposed,2176,random,0,0,0,199697,0,3900,0,77061,57443,0,0,0,0,0,0,0,0,0,0,13159,6579,1000,59
random_n07_02,7,7,max,high,reference,2176,random,6823936,0,0,0,0,1949696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_02,7,7,max,high,reference-proposed,2176,random,0,0,0,859887,0,4059,0,314619,242437,0,0,0,0,0,0,0,0,0,0,13437,6668,1023,52
random_n07_02,7,7,spectrum,natural,reference,640,random,2007040,36700160,0,0,0,10403840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_02,7,7,spectrum,natural,reference-proposed,640,random,0,0,0,1081280,0,22175,0,22665,16895,0,0,0,0,0,0,0,0,0,0,70745,35068,5567,322
random_n07_02,7,7,spectrum,high,reference,256,random,802816,14680064,0,0,0,4161536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_02,7,7,spectrum,high,reference-proposed,256,random,0,0,0,1825408,0,8372,0,37014,28522,0,0,0,0,0,0,0,0,0,0,28359,14175,2062,144
random_n07_03,7,7,min,static,reference,384,random,1204224,22020096,0,0,0,6242304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_03,7,7,min,static,reference-proposed,384,random,1204224,0,196608,0,0,0,19200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_03,7,7,max,natural,reference,2176,random,6823936,0,0,0,0,1949696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_03,7,7,max,natural,reference-proposed,2176,random,0,0,0,194190,0,4047,0,76840,55352,0,0,0,0,0,0,0,0,0,0,13270,6619,1011,59
random_n07_03,7,7,max,high,reference,2176,random,6823936,0,0,0,0,1949696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_03,7,7,max,high,reference-proposed,2176,random,0,0,0,848481,0,3966,0,314619,242437,0,0,0,0,0,0,0,0,0,0,13213,6600,972,58
random_n07_03,7,7,spectrum,natural,reference,640,random,2007040,36700160,0,0,0,10403840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_03,7,7,spectrum,natural,reference-proposed,640,random,0,0,0,1041920,0,20609,0,22600,16280,0,0,0,0,0,0,0,0,0,0,70904,35390,5260,308
random_n07_03,7,7,spectrum,high,reference,256,random,802816,14680064,0,0,0,4161536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_03,7,7,spectrum,high,reference-proposed,256,random,0,0,0,1825408,0,8341,0,37014,28522,0,0,0,0,0,0,0,0,0,0,28258,14155,2091,136
random_n07_04,7,7,min,static,reference,384,random,1204224,22020096,0,0,0,6242304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_04,7,7,min,static,reference-proposed,384,random,1204224,0,245760,0,0,0,16512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_04,7,7,max,natural,reference,2176,random,6823936,0,0,0,0,1949696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_04,7,7,max,natural,reference-proposed,2176,random,0,0,0,211767,0,3477,0,82399,60265,0,0,0,0,0,0,0,0,0,0,13659,6799,854,56
random_n07_04,7,7,max,high,reference,2176,random,6823936,0,0,0,0,1949696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_04,7,7,max,high,reference-proposed,2176,random,0,0,0,842734,0,3777,0,314619,242437,0,0,0,0,0,0,0,0,0,0,13071,6572,944,50
random_n07_04,7,7,spectrum,natural,reference,640,random,2007040,36700160,0,0,0,10403840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_04,7,7,spectrum,natural,reference-proposed,640,random,0,0,0,1134400,0,19078,0,24235,17725,0,0,0,0,0,0,0,0,0,0,72260,35983,4663,314
random_n07_04,7,7,spectrum,high,reference,256,random,802816,14680064,0,0,0,4161536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_04,7,7,spectrum,high,reference-proposed,256,random,0,0,0,1825408,0,8388,0,37014,28522,0,0,0,0,0,0,0,0,0,0,28433,14155,2107,121
random_n07_05,7,7,min,static,reference,384,random,1204224,22020096,0,0,0,6242304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_05,7,7,min,static,reference-proposed,384,random,1204224,0,442368,0,0,0,15360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_05,7,7,max,natural,reference,2176,random,6823936,0,0,0,0,1949696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_05,7,7,max,natural,reference-proposed,2176,random,0,0,0,184671,0,3698,0,71791,52105,0,0,0,0,0,0,0,0,0,0,13353,6649,932,68
random_n07_05,7,7,max,high,reference,2176,random,6823936,0,0,0,0,1949696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_05,7,7,max,high,reference-proposed,2176,random,0,0,0,911500,0,4240,0,314619,242437,0,0,0,0,0,0,0,0,0,0,14172,7079,1057,52
random_n07_05,7,7,spectrum,natural,reference,640,random,2007040,36700160,0,0,0,10403840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_05,7,7,spectrum,natural,reference-proposed,640,random,0,0,0,980800,0,20802,0,21115,15325,0,0,0,0,0,0,0,0,0,0,71321,35368,5247,345
random_n07_05,7,7,spectrum,high,reference,256,random,802816,14680064,0,0,0,4161536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_05,7,7,spectrum,high,reference-proposed,256,random,0,0,0,1825408,0,8777,0,37014,28522,0,0,0,0,0,0,0,0,0,0,28383,14076,2166,144
random_n07_06,7,7,min,static,reference,384,random,1204224,22020096,0,0,0,6242304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_06,7,7,min,static,reference-proposed,384,random,1204224,0,196608,0,0,0,18816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_06,7,7,max,natural,reference,2176,random,6823936,0,0,0,0,1949696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_06,7,7,max,natural,reference-proposed,2176,random,0,0,0,176115,0,4106,0,69921,49963,0,0,0,0,0,0,0,0,0,0,13410,6674,1057,59
random_n07_06,7,7,max,high,reference,2176,random,6823936,0,0,0,0,1949696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_06,7,7,max,high,reference-proposed,2176,random,0,0,0,870433,0,4220,0,314619,242437,0,0,0,0,0,0,0,0,0,0,13539,6710,1045,69
random_n07_06,7,7,spectrum,natural,reference,640,random,2007040,36700160,0,0,0,10403840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_06,7,7,spectrum,natural,reference-proposed,640,random,0,0,0,940480,0,21586,0,20565,14695,0,0,0,0,0,0,0,0,0,0,70297,35109,5554,297
random_n07_06,7,7,spectrum,high,reference,256,random,802816,14680064,0,0,0,4161536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_06,7,7,spectrum,high,reference-proposed,256,random,0,0,0,1825408,0,8413,0,37014,28522,0,0,0,0,0,0,0,0,0,0,28455,14147,2122,115
random_n07_07,7,7,min,static,reference,384,random,1204224,22020096,0,0,0,6242304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_07,7,7,min,static,reference-proposed,384,random,1204224,0,147456,0,0,0,18816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_07,7,7,max,natural,reference,2176,random,6823936,0,0,0,0,1949696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_07,7,7,max,natural,reference-proposed,2176,random,0,0,0,191197,0,3895,0,71808,54502,0,0,0,0,0,0,0,0,0,0,13300,6666,941,57
random_n07_07,7,7,max,high,reference,2176,random,6823936,0,0,0,0,1949696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_07,7,7,max,high,reference-proposed,2176,random,0,0,0,869873,0,4291,0,314619,242437,0,0,0,0,0,0,0,0,0,0,13544,6721,1024,68
random_n07_07,7,7,spectrum,natural,reference,640,random,2007040,36700160,0,0,0,10403840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_07,7,7,spectrum,natural,reference-proposed,640,random,0,0,0,1025920,0,20582,0,21120,16030,0,0,0,0,0,0,0,0,0,0,71189,35621,5038,300
random_n07_07,7,7,spectrum,high,reference,256,random,802816,14680064,0,0,0,4161536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_07,7,7,spectrum,high,reference-proposed,256,random,0,0,0,1825408,0,8329,0,37014,28522,0,0,0,0,0,0,0,0,0,0,28413,14183,2068,133
random_n07_08,7,7,min,static,reference,384,random,1204224,22020096,0,0,0,6242304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_08,7,7,min,static,reference-proposed,384,random,1204224,0,540672,0,0,0,15360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_08,7,7,max,natural,reference,2176,random,6823936,0,0,0,0,1949696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_08,7,7,max,natural,reference-proposed,2176,random,0,0,0,191836,0,3980,0,74528,54196,0,0,0,0,0,0,0,0,0,0,13276,6618,982,58
random_n07_08,7,7,max,high,reference,2176,random,6823936,0,0,0,0,1949696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_08,7,7,max,high,reference-proposed,2176,random,0,0,0,864726,0,4107,0,314619,242437,0,0,0,0,0,0,0,0,0,0,13538,6723,1006,49
random_n07_08,7,7,spectrum,natural,reference,640,random,2007040,36700160,0,0,0,10403840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_08,7,7,spectrum,natural,reference-proposed,640,random,0,0,0,1020160,0,21706,0,21920,15940,0,0,0,0,0,0,0,0,0,0,70745,35231,5402,326
random_n07_08,7,7,spectrum,high,reference,256,random,802816,14680064,0,0,0,4161536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_08,7,7,spectrum,high,reference-proposed,256,random,0,0,0,1825408,0,8414,0,37014,28522,0,0,0,0,0,0,0,0,0,0,28362,14152,2114,117
random_n07_09,7,7,min,static,reference,384,random,1204224,22020096,0,0,0,6242304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_09,7,7,min,static,reference-proposed,384,random,1204224,0,442368,0,0,0,15360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_09,7,7,max,natural,reference,2176,random,6823936,0,0,0,0,1949696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_09,7,7,max,natural,reference-proposed,2176,random,0,0,0,194791,0,3932,0,73100,55590,0,0,0,0,0,0,0,0,0,0,13372,6578,943,76
random_n07_09,7,7,max,high,reference,2176,random,6823936,0,0,0,0,1949696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_09,7,7,max,high,reference-proposed,2176,random,0,0,0,837980,0,3746,0,314619,242437,0,0,0,0,0,0,0,0,0,0,13042,6514,948,58
random_n07_09,7,7,spectrum,natural,reference,640,random,2007040,36700160,0,0,0,10403840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_09,7,7,spectrum,natural,reference-proposed,640,random,0,0,0,1046400,0,19892,0,21500,16350,0,0,0,0,0,0,0,0,0,0,71937,35710,4918,332
random_n07_09,7,7,spectrum,high,reference,256,random,802816,14680064,0,0,0,4161536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n07_09,7,7,spectrum,high,reference-proposed,256,random,0,0,0,1825408,0,8514,0,37014,28522,0,0,0,0,0,0,0,0,0,0,28387,14114,2133,136
random_n08_00,8,8,min,static,reference,256,random,2097152,67108864,0,0,0,16711680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n08_00,8,8,min,static,reference-proposed,256,random,2097152,0,393216,0,0,0,15104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n08_00,8,8,max,natural,reference,1664,random,13631488,0,0,0,0,3407872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n08_00,8,8,max,natural,reference-proposed,1664,random,0,0,0,259670,0,2608,0,82758,64506,0,0,0,0,0,0,0,0,0,0,11997,5932,646,26
random_n08_00,8,8,max,high,reference,1280,random,10485760,0,0,0,0,2621440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n08_00,8,8,max,high,reference-proposed,1280,random,0,0,0,1134768,0,2606,0,370140,285220,0,0,0,0,0,0,0,0,0,0,8828,4417,646,22
random_n08_00,8,8,spectrum,natural,reference,256,random,2097152,67108864,0,0,0,16711680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n08_00,8,8,spectrum,natural,reference-proposed,256,random,0,0,0,1270272,0,12639,0,12732,9924,0,0,0,0,0,0,0,0,0,0,59189,29525,3092,151
random_n08_00,8,8,spectrum,high,reference,128,random,1048576,33554432,0,0,0,8355840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n08_00,8,8,spectrum,high,reference-proposed,128,random,0,0,0,3650816,0,8383,0,37014,28522,0,0,0,0,0,0,0,0,0,0,28409,14211,2110,63
random_n08_01,8,8,min,static,reference,256,random,2097152,67108864,0,0,0,16711680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n08_01,8,8,min,static,reference-proposed,256,random,2097152,0,917504,0,0,0,13824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n08_01,8,8,max,natural,reference,1664,random,13631488,0,0,0,0,3407872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n08_01,8,8,max,natural,reference-proposed,1664,random,0,0,0,253198,0,2492,0,88088,67704,0,0,0,0,0,0,0,0,0,0,11672,5779,616,24
random_n08_01,8,8,max,high,reference,1280,random,10485760,0,0,0,0,2621440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n08_01,8,8,max,high,reference-proposed,1280,random,0,0,0,1111358,0,2586,0,370140,285220,0,0,0,0,0,0,0,0,0,0,8640,4309,676,16
random_n08_01,8,8,spectrum,natural,reference,256,random,2097152,67108864,0,0,0,16711680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n08_01,8,8,spectrum,natural,reference-proposed,256,random,0,0,0,1333248,0,12123,0,13552,10416,0,0,0,0,0,0,0,0,0,0,59026,29541,3127,100
random_n08_01,8,8,spectrum,high,reference,128,random,1048576,33554432,0,0,0,8355840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n08_01,8,8,spectrum,high,reference-proposed,128,random,0,0,0,3650816,0,8238,0,37014,28522,0,0,0,0,0,0,0,0,0,0,28494,14240,2088,58
random_n08_02,8,8,min,static,reference,256,random,2097152,67108864,0,0,0,16711680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n08_02,8,8,min,static,reference-proposed,256,random,2097152,0,851968,0,0,0,15616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n08_02,8,8,max,natural,reference,1664,random,13631488,0,0,0,0,3407872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n08_02,8,8,max,natural,reference-proposed,1664,random,0,0,0,256904,0,2512,0,80990,63622,0,0,0,0,0,0,0,0,0,0,11984,6027,592,30
random_n08_02,8,8,max,high,reference,1280,random,10485760,0,0,0,0,2621440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n08_02,8,8,max,high,reference-proposed,1280,random,0,0,0,1235140,0,3084,0,370140,285220,0,0,0,0,0,0,0,0,0,0,9657,4758,794,17
random_n08_02,8,8,spectrum,natural,reference,256,random,2097152,67108864,0,0,0,16711680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n08_02,8,8,spectrum,natural,reference-proposed,256,random,0,0,0,1252864,0,12272,0,12460,9788,0,0,0,0,0,0,0,0,0,0,59215,29623,3026,119
random_n08_02,8,8,spectrum,high,reference,128,random,1048576,33554432,0,0,0,8355840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n08_02,8,8,spectrum,high,reference-proposed,128,random,0,0,0,3650816,0,8139,0,37014,28522,0,0,0,0,0,0,0,0,0,0,28340,14246,2086,52
random_n08_03,8,8,min,static,reference,256,random,2097152,67108864,0,0,0,16711680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n08_03,8,8,min,static,reference-proposed,256,random,2097152,0,786432,0,0,0,12800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n08_03,8,8,max,natural,reference,1664,random,13631488,0,0,0,0,3407872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
