case,n,m,metric,profile,method,steps,group,scalar_mobius_xor,scalar_component_xor,scalar_elimination_xor,scalar_coefficient_updates,scalar_rollback_xor,scalar_degree_checks,pivot_checks,delta_candidates,delta_coefficients,word_mobius_xor,word_component_xor,word_elimination_xor,word_coefficient_updates,word_rollback_xor,word_degree_checks,top_guard_checks,top_guard_kept,top_guard_fallback,degree_drops,scalar_guard_checks,scalar_guard_kept,scalar_guard_fallback,scalar_degree_drops
random_n03_03,3,3,max,natural,reference-proposed,11008,random,0,0,0,59271,0,31375,0,71724,33884,0,0,0,0,0,0,0,0,0,0,21294,8096,7273,3840
random_n03_03,3,3,max,high,reference,15744,random,566784,0,0,0,0,377856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_03,3,3,max,high,reference-proposed,15744,random,0,0,0,177917,0,53960,0,169002,82902,0,0,0,0,0,0,0,0,0,0,38070,14672,11968,7087
random_n03_03,3,3,spectrum,natural,reference,6528,random,235008,626688,0,0,0,365568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_03,3,3,spectrum,natural,reference-proposed,6528,random,0,0,0,80376,0,42937,0,42534,20094,0,0,0,0,0,0,0,0,0,0,28798,10934,9952,5226
random_n03_03,3,3,spectrum,high,reference,9344,random,336384,897024,0,0,0,523264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_03,3,3,spectrum,high,reference-proposed,9344,random,0,0,0,196808,0,59979,0,100302,49202,0,0,0,0,0,0,0,0,0,0,42221,15968,13633,7775
random_n03_04,3,3,min,static,reference,8448,random,304128,811008,0,0,0,473088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_04,3,3,min,static,reference-proposed,8448,random,304128,0,67584,0,0,0,126720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_04,3,3,max,natural,reference,11008,random,396288,0,0,0,0,264192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_04,3,3,max,natural,reference-proposed,11008,random,0,0,0,60886,0,30587,0,71982,35518,0,0,0,0,0,0,0,0,0,0,21145,8141,6929,3796
random_n03_04,3,3,max,high,reference,15744,random,566784,0,0,0,0,377856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_04,3,3,max,high,reference-proposed,15744,random,0,0,0,159899,0,48145,0,169002,82902,0,0,0,0,0,0,0,0,0,0,34408,13213,10814,6308
random_n03_04,3,3,spectrum,natural,reference,6528,random,235008,626688,0,0,0,365568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_04,3,3,spectrum,natural,reference-proposed,6528,random,0,0,0,84252,0,42330,0,42687,21063,0,0,0,0,0,0,0,0,0,0,29274,11271,9588,5253
random_n03_04,3,3,spectrum,high,reference,9344,random,336384,897024,0,0,0,523264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_04,3,3,spectrum,high,reference-proposed,9344,random,0,0,0,196808,0,60292,0,100302,49202,0,0,0,0,0,0,0,0,0,0,42150,15875,13657,7841
random_n03_05,3,3,min,static,reference,8448,random,304128,811008,0,0,0,473088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_05,3,3,min,static,reference-proposed,8448,random,304128,0,135168,0,0,0,92928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_05,3,3,max,natural,reference,11008,random,396288,0,0,0,0,264192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_05,3,3,max,natural,reference-proposed,11008,random,0,0,0,61870,0,29062,0,76282,37410,0,0,0,0,0,0,0,0,0,0,21013,8073,6808,3465
random_n03_05,3,3,max,high,reference,15744,random,566784,0,0,0,0,377856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_05,3,3,max,high,reference-proposed,15744,random,0,0,0,160064,0,48689,0,169002,82902,0,0,0,0,0,0,0,0,0,0,34108,13094,11149,6126
random_n03_05,3,3,spectrum,natural,reference,6528,random,235008,626688,0,0,0,365568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_05,3,3,spectrum,natural,reference-proposed,6528,random,0,0,0,88740,0,41958,0,45237,22185,0,0,0,0,0,0,0,0,0,0,29726,11278,9675,5159
random_n03_05,3,3,spectrum,high,reference,9344,random,336384,897024,0,0,0,523264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_05,3,3,spectrum,high,reference-proposed,9344,random,0,0,0,196808,0,60390,0,100302,49202,0,0,0,0,0,0,0,0,0,0,41763,15840,14207,7329
random_n03_06,3,3,min,static,reference,8448,random,304128,811008,0,0,0,473088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_06,3,3,min,static,reference-proposed,8448,random,304128,0,0,0,0,0,126720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_06,3,3,max,natural,reference,11008,random,396288,0,0,0,0,264192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_06,3,3,max,natural,reference-proposed,11008,random,0,0,0,63660,0,30822,0,78002,37238,0,0,0,0,0,0,0,0,0,0,21020,7578,7098,4072
random_n03_06,3,3,max,high,reference,15744,random,566784,0,0,0,0,377856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_06,3,3,max,high,reference-proposed,15744,random,0,0,0,159898,0,49021,0,169002,82902,0,0,0,0,0,0,0,0,0,0,34021,12973,11142,6219
random_n03_06,3,3,spectrum,natural,reference,6528,random,235008,626688,0,0,0,365568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
