case,n,metric,method,steps,group,m,profile,kernel_us_per_step,repeat_q1_us,repeat_q3_us,context_ms,init_ms,kernel_ms,total_ms,input_conversion_ms,state_init_ms
MISTY1_FI_key0000,16,min,reference,2,practical,16,static,16423872.232,16375309.097,16456551.124,0.63751,16428.544806,32847.744464,49276.92678,0.773327,16427.768465
MISTY1_FI_key0000,16,min,reference-proposed,2,practical,16,static,6384.4315,6380.454,6385.23,0.641362,14.653313,12.768863,28.023219,0.777393,13.875485
MISTY1_FI_key0000,16,spectrum,reference,2,practical,16,high,16440688.6105,16391418.5795,16449228.4335,0.654978,16447.594689,32881.377221,49329.628562,0.778545,16446.815775
MISTY1_FI_key0000,16,spectrum,reference-proposed,2,practical,16,high,651256.504,649922.808,652141.8795,0.645271,12538.55961,1302.513008,13838.708507,0.778966,12537.78242
MISTY1_FI_key0000,16,spectrum,reference,2,practical,16,natural,16553996.407,16440287.714,16984314.604,0.66283,16540.737352,33107.992814,49649.392996,0.773919,16539.969258
MISTY1_FI_key0000,16,spectrum,reference-proposed,2,practical,16,natural,74531.252,74268.0645,74677.8325,0.649257,12592.177905,149.062504,12741.025633,0.776153,12591.401079
MISTY1_S9,9,max,reference,640,practical,9,high,17.8543765625,17.831056250000003,17.939904687499997,0.013271,0.053494,11.426801,11.545523,0.003458,0.050036
MISTY1_S9,9,max,reference-proposed,640,practical,9,high,1.6985359375,1.6675046875000001,1.813378125,0.026681,0.104782,1.087063,1.218076,0.007116,0.097666
MISTY1_S9,9,max,reference,2688,practical,9,natural,20.236246279761904,20.225760788690476,20.286457217261905,0.01294,0.053153,54.39503,54.461413,0.003468,0.049695
MISTY1_S9,9,max,reference-proposed,2688,practical,9,natural,0.32828050595238095,0.32394270833333333,0.3287206101190476,0.013532,0.054225,0.882418,0.949042,0.003548,0.050687
MISTY1_S9,9,min,reference,128,practical,9,static,714.9525,702.58646875,731.235328125,0.026441,1.023702,91.51392,92.744381,0.007217,1.016375
MISTY1_S9,9,min,reference-proposed,128,practical,9,static,16.009125,15.9743515625,16.0531015625,0.015125,0.056871,2.049168,2.122896,0.003478,0.053413
MISTY1_S9,9,spectrum,reference,128,practical,9,high,939.76346875,937.43684375,940.357671875,0.02655,0.801023,120.289724,121.117297,0.007116,0.793907
MISTY1_S9,9,spectrum,reference-proposed,128,practical,9,high,47.8659375,47.745,47.951,0.013491,0.819755,6.12684,6.970532,0.003478,0.816297
MISTY1_S9,9,spectrum,reference,128,practical,9,natural,1448.3159765625,1448.0400625,1481.7556875,0.01299,0.755389,185.384445,186.142224,0.003458,0.751861
MISTY1_S9,9,spectrum,reference-proposed,128,practical,9,natural,11.830046875,11.7419609375,11.93121875,0.013642,0.828061,1.514246,2.366117,0.003468,0.824593
PRESENT,4,max,reference,8960,practical,4,high,0.2901575892857143,0.29009687500000003,0.32585792410714287,0.009562,0.001724,2.599812,2.610554,0.000171,0.001564
PRESENT,4,max,reference-proposed,8960,practical,4,high,0.07430837053571429,0.07372890624999999,0.07455401785714286,0.007948,0.001524,0.665803,0.676418,0.000151,0.001373
PRESENT,4,max,reference,8064,practical,4,natural,0.3252357390873016,0.32424107142857145,0.32904340277777777,0.007728,0.001684,2.622701,2.631982,0.000161,0.001523
PRESENT,4,max,reference-proposed,8064,practical,4,natural,0.0928482142857143,0.09161445932539682,0.15832614087301589,0.009733,0.001503,0.748728,0.759964,0.00017,0.001333
PRESENT,4,min,reference,7808,practical,4,static,0.5395411116803278,0.49371695696721307,0.5521944159836065,0.014743,0.006014,4.212737,4.233666,0.000301,0.005693
PRESENT,4,min,reference-proposed,7808,practical,4,static,0.13744249487704918,0.13712218237704918,0.14052804815573772,0.007557,0.001754,1.073151,1.082763,0.00018,0.001574
PRESENT,4,spectrum,reference,3712,practical,4,high,1.1058181573275863,1.102696120689655,1.1065525323275862,0.007537,0.003016,4.104797,4.115501,0.00018,0.002865
PRESENT,4,spectrum,reference-proposed,3712,practical,4,high,0.3346417025862069,0.2794094827586207,0.3618321659482759,0.014694,0.003698,1.24219,1.265072,0.00032,0.003378
PRESENT,4,spectrum,reference,3584,practical,4,natural,1.123693359375,1.1213630022321428,1.1355973772321428,0.007107,0.003047,4.027317,4.037381,0.00016,0.002896
PRESENT,4,spectrum,reference-proposed,3584,practical,4,natural,0.24131752232142858,0.23901032366071429,0.27890959821428574,0.009272,0.001884,0.864882,0.875988,0.000161,0.001724
random_n03_00,3,max,reference,15744,random,3,high,0.0872092225609756,0.08438700457317073,0.0886701600609756,0.014073,0.002144,1.373022,1.389621,0.00024,0.001904
random_n03_00,3,max,reference-proposed,15744,random,3,high,0.028797192581300812,0.028677718495934958,0.03652159552845528,0.006805,0.001033,0.453383,0.461171,0.00012,0.000912
random_n03_00,3,max,reference,11008,random,3,natural,0.09026862281976744,0.08979651162790699,0.09246720566860465,0.006745,0.003188,0.993677,1.004332,0.00012,0.003068
random_n03_00,3,max,reference-proposed,11008,random,3,natural,0.03742550872093023,0.03261010174418605,0.0383515625,0.013842,0.006064,0.41198,0.432307,0.00024,0.005813
random_n03_00,3,min,reference,8448,random,3,static,0.14451089015151516,0.13056889204545452,0.1535859375,0.013932,0.002776,1.220828,1.237727,0.00025,0.002525
random_n03_00,3,min,reference-proposed,8448,random,3,static,0.06398011363636363,0.058170217803030305,0.06481332859848485,0.007257,0.001463,0.540504,0.548994,0.000121,0.001343
random_n03_00,3,spectrum,reference,9344,random,3,high,0.22310498715753424,0.22004880136986302,0.2597424015410959,0.009202,0.001834,2.084693,2.095729,0.000121,0.001714
random_n03_00,3,spectrum,reference-proposed,9344,random,3,high,0.05232823202054794,0.05167776113013699,0.07856902825342466,0.0087,0.001523,0.488955,0.497645,0.000121,0.001403
random_n03_00,3,spectrum,reference,6528,random,3,natural,0.2824522058823529,0.25702297794117646,0.29768014705882356,0.013832,0.007217,1.843848,1.865588,0.00024,0.006977
random_n03_00,3,spectrum,reference-proposed,6528,random,3,natural,0.10309895833333332,0.05487162990196079,0.10920986519607842,0.013832,0.006766,0.67303,0.693818,0.000241,0.006525
random_n03_01,3,max,reference,15744,random,3,high,0.08173837652439024,0.08110473831300813,0.0830290269308943,0.007086,0.001073,1.286889,1.294717,0.00012,0.000953
random_n03_01,3,max,reference-proposed,15744,random,3,high,0.02982418699186992,0.029691755589430893,0.030607088414634144,0.006715,0.001153,0.469552,0.47747,0.00012,0.001043
random_n03_01,3,max,reference,11008,random,3,natural,0.09745939316860465,0.09739425872093024,0.0977648074127907,0.007337,0.003378,1.072833,1.085201,0.00012,0.003258
random_n03_01,3,max,reference-proposed,11008,random,3,natural,0.035936864098837215,0.03522501816860465,0.03765470566860465,0.007477,0.003438,0.395593,0.406508,0.00012,0.003318
random_n03_01,3,min,reference,8448,random,3,static,0.13002331912878787,0.1290395359848485,0.1421065340909091,0.007457,0.002886,1.098437,1.107398,0.000121,0.002627
random_n03_01,3,min,reference-proposed,8448,random,3,static,0.056821732954545456,0.056605113636363634,0.05741122159090909,0.007326,0.001213,0.48003,0.492959,0.000121,0.001092
random_n03_01,3,spectrum,reference,9344,random,3,high,0.22876294948630138,0.22654997859589043,0.24253959760273971,0.013762,0.002796,2.137561,2.146482,0.000241,0.002545
random_n03_01,3,spectrum,reference-proposed,9344,random,3,high,0.053023865582191784,0.05280297517123287,0.061825556506849316,0.007407,0.001634,0.495455,0.503383,0.000121,0.001513
random_n03_01,3,spectrum,reference,6528,random,3,natural,0.2856943933823529,0.2850935968137255,0.28654702818627453,0.006976,0.003668,1.865013,1.875717,0.00012,0.003558
random_n03_01,3,spectrum,reference-proposed,6528,random,3,natural,0.09573805147058823,0.06761642156862745,0.12160585171568628,0.013722,0.006846,0.624978,0.645575,0.00024,0.006606
random_n03_02,3,max,reference,15744,random,3,high,0.08105024136178862,0.08078353658536586,0.08108561991869918,0.007107,0.001253,1.276055,1.284414,0.00012,0.001132
random_n03_02,3,max,reference-proposed,15744,random,3,high,0.03481561229674796,0.032650914634146336,0.036406440548780485,0.013761,0.001955,0.548137,0.563984,0.00024,0.001715
random_n03_02,3,max,reference,11008,random,3,natural,0.09894749273255815,0.09878697311046511,0.09903079578488372,0.006676,0.003177,1.089214,1.099067,0.000121,0.003056
random_n03_02,3,max,reference-proposed,11008,random,3,natural,0.036680232558139535,0.03260510537790697,0.03957022165697674,0.007017,0.003458,0.403776,0.414251,0.00012,0.003348
random_n03_02,3,min,reference,8448,random,3,static,0.1299285037878788,0.12964725378787878,0.13020430871212121,0.007207,0.001454,1.097636,1.10789,0.000121,0.001333
random_n03_02,3,min,reference-proposed,8448,random,3,static,0.05663577178030303,0.05633771306818182,0.057519412878787875,0.007017,0.001324,0.478459,0.486779,0.00011,0.001214
random_n03_02,3,spectrum,reference,9344,random,3,high,0.22095580051369862,0.2208998287671233,0.22234835188356164,0.006725,0.001423,2.064611,2.072768,0.00012,0.001303
random_n03_02,3,spectrum,reference-proposed,9344,random,3,high,0.06456731592465753,0.05186279965753424,0.06584182363013699,0.013711,0.002476,0.603317,0.619675,0.00024,0.002236
random_n03_02,3,spectrum,reference,6528,random,3,natural,0.2905477941176471,0.28952267156862743,0.29880713848039214,0.006695,0.00395,1.896696,1.907,0.000121,0.003829
random_n03_02,3,spectrum,reference-proposed,6528,random,3,natural,0.07518229166666666,0.07008961397058823,0.0776982230392157,0.007447,0.004009,0.49079,0.511337,0.00012,0.003889
random_n03_03,3,max,reference,15744,random,3,high,0.08366920731707317,0.0822739456300813,0.0842126524390244,0.007076,0.001123,1.317288,1.325687,0.000121,0.001002
random_n03_03,3,max,reference-proposed,15744,random,3,high,0.051852642276422764,0.04819245426829268,0.05393724593495935,0.013791,0.002025,0.816368,0.832165,0.000241,0.001784
random_n03_03,3,max,reference,11008,random,3,natural,0.10808421148255815,0.10741288154069767,0.10857394622093024,0.007026,0.003358,1.189791,1.199965,0.00012,0.003248
random_n03_03,3,max,reference-proposed,11008,random,3,natural,0.08099609375,0.041899527616279075,0.08791378997093025,0.013892,0.006325,0.891605,0.912062,0.000241,0.006074
random_n03_03,3,min,reference,8448,random,3,static,0.13130587121212123,0.13029486268939394,0.1436176609848485,0.014233,0.001934,1.109272,1.118402,0.00017,0.001764
random_n03_03,3,min,reference-proposed,8448,random,3,static,0.09103172348484849,0.07976100852272727,0.09412606534090909,0.014303,0.002125,0.769036,0.785344,0.000241,0.001875
random_n03_03,3,spectrum,reference,9344,random,3,high,0.2235224743150685,0.22293161386986302,0.2239673587328767,0.006876,0.001433,2.088594,2.096903,0.00012,0.001313
random_n03_03,3,spectrum,reference-proposed,9344,random,3,high,0.0514296875,0.05105725599315068,0.054037457191780824,0.007196,0.001614,0.480559,0.488467,0.000121,0.001493
random_n03_03,3,spectrum,reference,6528,random,3,natural,0.31549310661764707,0.3081724877450981,0.32444975490196076,0.007117,0.003849,2.059539,2.070003,0.00012,0.003738
random_n03_03,3,spectrum,reference-proposed,6528,random,3,natural,0.13623023897058822,0.11049280024509804,0.16761305147058822,0.013773,0.006605,0.889311,0.910139,0.00024,0.006354
random_n03_04,3,max,reference,15744,random,3,high,0.08895604674796748,0.0863899263211382,0.09115205792682927,0.013842,0.002075,1.400524,1.429641,0.00024,0.001834
random_n03_04,3,max,reference-proposed,15744,random,3,high,0.04011877540650406,0.03263846544715447,0.0467792174796748,0.013812,0.002124,0.63163,0.647626,0.00024,0.001883
random_n03_04,3,max,reference,11008,random,3,natural,0.10011746002906977,0.09821920421511628,0.10301871366279071,0.013742,0.006204,1.102093,1.12232,0.000241,0.005953
random_n03_04,3,max,reference-proposed,11008,random,3,natural,0.031320585029069765,0.03067768895348837,0.031605832122093024,0.007126,0.003337,0.344777,0.35491,0.00012,0.003217
random_n03_04,3,min,reference,8448,random,3,static,0.13041276041666666,0.1301987452651515,0.13124704071969698,0.006856,0.001364,1.101727,1.109916,0.00012,0.001243
random_n03_04,3,min,reference-proposed,8448,random,3,static,0.055278645833333334,0.05520501893939394,0.05591891571969697,0.007277,0.001092,0.466994,0.474952,0.00012,0.000972
random_n03_04,3,spectrum,reference,9344,random,3,high,0.2357712970890411,0.22913527397260272,0.24074604023972604,0.008971,0.001594,2.203047,2.211255,0.00012,0.001474
random_n03_04,3,spectrum,reference-proposed,9344,random,3,high,0.07025224743150685,0.051349208047945204,0.07459696061643835,0.013903,0.002445,0.656437,0.673226,0.00024,0.002205
random_n03_04,3,spectrum,reference,6528,random,3,natural,0.31480882352941175,0.29056847426470583,0.3260228247549019,0.013661,0.006906,2.055072,2.076241,0.00024,0.006666
random_n03_04,3,spectrum,reference-proposed,6528,random,3,natural,0.06346124387254902,0.06345220588235294,0.06660998774509803,0.006746,0.003398,0.414275,0.424469,0.000111,0.003278
random_n03_05,3,max,reference,15744,random,3,high,0.08786248729674798,0.0845665650406504,0.09550190548780488,0.006786,0.001032,1.383307,1.391125,0.000121,0.000912
random_n03_05,3,max,reference-proposed,15744,random,3,high,0.031017594004065042,0.030663427337398373,0.03139430894308943,0.006756,0.001132,0.488341,0.49627,0.00012,0.001011
random_n03_05,3,max,reference,11008,random,3,natural,0.10102870639534883,0.09645430595930234,0.10837091206395348,0.013692,0.006214,1.112124,1.132471,0.000241,0.005973
random_n03_05,3,max,reference-proposed,11008,random,3,natural,0.03441678779069768,0.031340479651162795,0.061671511627906975,0.006815,0.003087,0.37886,0.388562,0.000121,0.002967
random_n03_05,3,min,reference,8448,random,3,static,0.16640897253787879,0.16439074337121212,0.18025272253787877,0.014252,0.002866,1.405823,1.422742,0.00024,0.002625
