n,metric,profile,steps,independent_inputs,repeats_per_input,reference_growth_factor,baseline_us,baseline_us_q1,baseline_us_q3,proposed_us,proposed_us_q1,proposed_us_q3,paired_speedup,paired_speedup_q1,paired_speedup_q3,baseline_total_ms,baseline_total_ms_q1,baseline_total_ms_q3,proposed_total_ms,proposed_total_ms_q1,proposed_total_ms_q3,total_speedup,total_speedup_q1,total_speedup_q3,speedup_over_reference_factor,speedup_over_reference_factor_q1,speedup_over_reference_factor_q3
6,spectrum,high,768,10,5,12,15.688119140625,15.616240885416666,15.9573046875,1.4583320312499999,1.4543902994791666,1.460337890625,10.787608735144213,10.75460949850941,10.958018628904087,12.0856405,12.030454,12.33048575,1.1423105,1.13892025,1.1435515,10.61129477357817,10.571402278512679,10.805908428216407,0.898967394595351,0.8962174582091175,0.9131682190753406
6,spectrum,natural,1152,10,5,12,16.634631944444443,16.4918046875,16.92661892361111,0.8932048611111111,0.8761499565972222,0.8978125,18.928579018219242,18.570310962754032,19.119238478431036,19.219746999999998,19.04267,19.579913,1.0515025,1.0325704999999998,1.06109725,18.56696858083648,18.217561057331963,18.737483859370855,1.5773815848516035,1.5475259135628359,1.5932698732025863
7,max,high,2176,10,5,7,3.6304204963235294,3.62107421875,3.6434272748161765,0.42913855698529413,0.42459145220588235,0.44566486672794114,8.483833322834343,8.145384905935229,8.591298578246994,7.929892000000001,7.9020132499999995,7.9492597499999995,0.9510700000000001,0.94224575,0.9868935,8.343124338128437,8.025634295351324,8.459703118020496,1.211976188976335,1.1636264151336042,1.227328368320999
7,max,natural,2176,10,5,7,3.888532169117647,3.8539854090073526,3.9040280330882355,0.19719921875000002,0.19506100643382351,0.19817612591911765,19.85078699111031,19.28910789146549,20.008532925247124,8.482368999999998,8.407674,8.51686475,0.4465055,0.44216125,0.44910150000000004,19.08225165493711,18.559549656565665,19.31200505280825,2.8358267130157593,2.7555868416379274,2.858361846463875
7,min,static,384,10,5,18.285714285714285,45.91800260416666,45.67189973958333,46.18847721354167,2.2941953125,2.1334654947916665,2.410494140625,20.03384843085493,19.030036970303716,21.46859266496849,17.768279,17.6665615,17.86713325,0.903095,0.83906175,0.94928025,19.603700537909017,18.790331874647727,21.103227493085075,1.0956010860623793,1.0407051468134845,1.1740636613654645
7,spectrum,high,256,10,5,14,69.0046328125,68.7962353515625,73.2062666015625,4.81656640625,4.716608398437501,4.9880830078125005,14.58537642187973,14.065663084364495,14.720627039922112,17.88631,17.748161,18.8527335,1.297054,1.2692782500000002,1.3388452499999999,13.9923313465189,13.573819818160937,14.066275642077962,1.041812601562838,1.0046902203117496,1.0514733599944366
7,spectrum,natural,640,10,5,14,73.24380234375,72.6915546875,77.12248984375,1.9406546875,1.90786015625,1.98488515625,38.36083058966058,36.890908050153705,39.27614091473417,46.993715,46.6862585,49.5779685,1.3072460000000001,1.28477975,1.337204,36.57879313568966,34.96385159082685,37.44404171850158,2.740059327832898,2.6350648607252647,2.805438636766726
8,max,high,1280,10,5,8,8.965385546875,8.9180474609375,9.035388671875,0.840798828125,0.82784453125,0.8564728515625,10.657482589017437,10.476350773687631,10.792270936389531,11.519091,11.47127225,11.63183875,1.109987,1.09230925,1.14359875,10.37136411051976,10.204953406377069,10.528425315137813,1.3321853236271797,1.309543846710954,1.3490338670486914
8,max,natural,1664,10,5,8,8.999804387019232,8.965320012019232,9.059218449519232,0.2531772836538462,0.2512839543269231,0.26513146033653845,35.41122875500038,34.92881767804943,35.809978849416574,15.017200500000001,14.978995,15.1150055,0.453758,0.44992,0.47302275,32.98065030778734,32.688644125271495,33.391109876299595,4.4264035943750475,4.366102209756178,4.476247356177072
8,min,static,256,10,5,32.0,363.843564453125,341.2533603515625,368.8822890625,6.224494140625,6.0315625,6.30126171875,58.108918839825805,54.84763086780937,59.90964226284967,93.56501499999999,87.848565,94.85392225,1.6356060000000001,1.5800255,1.6505714999999999,57.07628121739752,53.89445298009892,58.594138034839034,1.8159037137445564,1.7139884646190429,1.8721763207140523
8,spectrum,high,128,10,5,16,391.0605859375,386.33676953125,391.78854492187503,14.090093750000001,14.039125,14.204349609374999,27.57878304790166,27.437645735072298,27.778281227803973,50.505777,49.9676885,50.68734775,2.0179169999999997,2.012234,2.037163,24.838667952613378,24.719769090319037,25.101829051258377,1.7236739404938537,1.7148528584420186,1.7361425767377483
