case,group,n,m,metric,profile,steps,baseline_anf_xor_per_step,proposed_anf_xor_per_step,logical_anf_xor_ratio,baseline_degree_tests_per_step,proposed_degree_tests_per_step,mean_delta_fraction,conditional_guard_keep_fraction,actual_degree_drops,measured_time_speedup,reference_growth_factor
random_n16_03,random,16,16,min,static,2,34368126976.0,10878976.0,3159.132530120482,4294901760.0,0.0,,,0,5765.813838710909,4096.0
random_n16_03,random,16,16,spectrum,high,2,34368126976.0,1073741824.0,32.0078125,4294901760.0,61436.5,0.5,0.4999771107686204,1,48.80081646038411,32
random_n16_03,random,16,16,spectrum,natural,2,34368126976.0,73924608.0,464.9078014184397,4294901760.0,1409.0,0.034423828125,0.9916988387529947,1,332.8445729642209,32
random_n16_04,random,16,16,max,high,6,8388608.0,240298.66666666666,34.90909090909091,1048576.0,13.5,0.5,0.5,0,47.47844358372896,16
random_n16_04,random,16,16,max,natural,110,8388608.0,15456.0,542.7412008281574,1048576.0,0.9818181818181818,0.02978515625,0.9672727272727273,0,963.1587338655925,16
random_n16_04,random,16,16,min,static,2,34368126976.0,11862016.0,2897.3259668508285,4294901760.0,0.0,,,0,5409.50552461277,4096.0
random_n16_04,random,16,16,spectrum,high,2,34368126976.0,1073741824.0,32.0078125,4294901760.0,61441.0,0.5,0.499984740745262,2,48.343028778413725,32
random_n16_04,random,16,16,spectrum,natural,2,34368126976.0,63963136.0,537.311475409836,4294901760.0,2923.5,0.02978515625,0.9765621423666743,0,245.94333242981375,32
random_n16_05,random,16,16,max,high,6,8388608.0,283989.3333333333,29.53846153846154,1048576.0,15.666666666666666,0.5,0.5,0,43.03831110227612,16
random_n16_05,random,16,16,max,natural,110,8388608.0,2912.0,2880.703296703297,1048576.0,0.0,0.00555419921875,1.0,0,5057.925645110233,16
random_n16_05,random,16,16,min,static,2,34368126976.0,11665408.0,2946.1573033707864,4294901760.0,0.0,,,0,5483.218393648406,4096.0
