case,group,n,m,metric,profile,steps,baseline_anf_xor_per_step,proposed_anf_xor_per_step,logical_anf_xor_ratio,baseline_degree_tests_per_step,proposed_degree_tests_per_step,mean_delta_fraction,conditional_guard_keep_fraction,actual_degree_drops,measured_time_speedup,reference_growth_factor
random_n03_07,random,3,3,spectrum,high,9344,132.0,21.0625,6.267062314540059,56.0,6.402290239726027,0.658203125,0.5301037145034627,7200,4.168118389212265,6
random_n03_07,random,3,3,spectrum,natural,6528,132.0,14.21875,9.283516483516484,56.0,6.3359375,0.4443359375,0.5319672131147541,5372,3.088291857824737,6
random_n03_08,random,3,3,max,high,15744,36.0,6.754509654471545,5.329772528516217,24.0,2.0500508130081303,0.658203125,0.522840454964648,3994,2.9804689233730524,3
random_n03_08,random,3,3,max,natural,11008,36.0,5.636446220930233,6.387003191180737,24.0,2.695675872093023,0.4150390625,0.546304333311077,3746,2.1725492738851955,3
random_n03_08,random,3,3,min,static,8448,132.0,44.0,3.0,56.0,0.0,,,0,2.2229573353030143,2.6666666666666665
random_n03_08,random,3,3,spectrum,high,9344,132.0,21.0625,6.267062314540059,56.0,6.428403253424658,0.658203125,0.538326467211454,7762,2.413379919529368,6
random_n03_08,random,3,3,spectrum,natural,6528,132.0,13.28125,9.938823529411765,56.0,6.291666666666667,0.4150390625,0.5498227459998084,5238,4.552520888365368,6
random_n03_09,random,3,3,max,high,15744,36.0,7.888401930894309,4.563661983171626,24.0,2.4448678861788617,0.658203125,0.5237485323940655,4878,2.545471718904963,3
random_n03_09,random,3,3,max,natural,11008,36.0,5.601289970930233,6.427090935629835,24.0,2.76671511627907,0.408203125,0.525563459876338,3842,3.0542576596782895,3
random_n03_09,random,3,3,min,static,8448,132.0,44.0,3.0,56.0,0.0,,,0,2.4057999605444866,2.6666666666666665
random_n03_09,random,3,3,spectrum,high,9344,132.0,21.0625,6.267062314540059,56.0,6.451519691780822,0.658203125,0.5279523762014035,7307,4.125822031652735,6
random_n03_09,random,3,3,spectrum,natural,6528,132.0,13.0625,10.105263157894736,56.0,6.439185049019608,0.408203125,0.5272578942316921,5280,4.249327976740874,6
random_n04_00,random,4,4,max,high,8960,128.0,20.55234375,6.228000152050785,64.0,2.366517857142857,0.7236328125,0.6717316906228611,1343,3.039944265715788,4
random_n04_00,random,4,4,max,natural,8064,128.0,12.568204365079366,10.184430192402566,64.0,2.4324156746031744,0.36767578125,0.7081837315835088,1081,4.643306330528301,4
random_n04_00,random,4,4,min,static,7808,640.0,160.0,4.0,240.0,0.0,,,0,4.085951712912052,4.0
random_n04_00,random,4,4,spectrum,high,3712,640.0,92.625,6.909581646423752,240.0,9.935075431034482,0.7236328125,0.6884647666313908,2294,5.097507079074316,8
random_n04_00,random,4,4,spectrum,natural,3584,640.0,47.0625,13.598937583001328,240.0,9.277901785714286,0.36767578125,0.7037424757916776,1926,5.073203663048266,8
random_n04_01,random,4,4,max,high,8960,128.0,24.669754464285713,5.188539682683303,64.0,2.733705357142857,0.7236328125,0.6781973063197881,1713,4.123745663010035,4
random_n04_01,random,4,4,max,natural,8064,128.0,12.037450396825397,10.633480993097765,64.0,2.3206845238095237,0.35888671875,0.7145177411294353,1049,3.511001744489578,4
random_n04_01,random,4,4,min,static,7808,640.0,128.0,5.0,240.0,0.0,,,0,4.405968250674648,4.0
random_n04_01,random,4,4,spectrum,high,3712,640.0,92.625,6.909581646423752,240.0,9.694504310344827,0.7236328125,0.6877892358707138,2253,4.978492142807704,8
random_n04_01,random,4,4,spectrum,natural,3584,640.0,45.9375,13.931972789115646,240.0,9.066127232142858,0.35888671875,0.7078256969878167,1913,5.338249492607531,8
random_n04_02,random,4,4,max,high,8960,128.0,24.723660714285714,5.177226846752497,64.0,2.329017857142857,0.7236328125,0.7008599167822469,1111,3.925708992580256,4
random_n04_02,random,4,4,max,natural,8064,128.0,11.826760912698413,10.822912625431211,64.0,2.4671378968253967,0.345703125,0.6971538413840144,1185,3.5792915149440585,4
random_n04_02,random,4,4,min,static,7808,640.0,176.0,3.6363636363636362,240.0,0.0,,,0,3.5561207151904366,4.0
random_n04_02,random,4,4,spectrum,high,3712,640.0,92.625,6.909581646423752,240.0,8.969827586206897,0.7236328125,0.6988483478635238,1823,4.9437595768389055,8
random_n04_02,random,4,4,spectrum,natural,3584,640.0,44.25,14.463276836158192,240.0,9.046316964285714,0.345703125,0.699278477700101,1923,4.268849590992215,8
random_n04_03,random,4,4,max,high,8960,128.0,26.110825892857143,4.9021812073365165,64.0,3.238058035714286,0.7236328125,0.6814678284182306,2287,3.792805693731398,4
random_n04_03,random,4,4,max,natural,8064,128.0,12.329117063492063,10.381927541188068,64.0,2.443452380952381,0.353515625,0.7021198382551158,1154,3.572837238069903,4
random_n04_03,random,4,4,min,static,7808,640.0,144.0,4.444444444444445,240.0,0.0,,,0,3.5977025500038553,4.0
random_n04_03,random,4,4,spectrum,high,3712,640.0,92.625,6.909581646423752,240.0,9.864493534482758,0.7236328125,0.6969685875375266,2380,3.5917176320450777,8
random_n04_03,random,4,4,spectrum,natural,3584,640.0,45.25,14.143646408839778,240.0,9.211495535714286,0.353515625,0.7011674898967221,1946,4.829235414517374,8
random_n04_04,random,4,4,max,high,8960,128.0,27.460267857142856,4.661280096242948,64.0,2.796875,0.7236328125,0.7101904376012966,1472,2.80053271680005,4
random_n04_04,random,4,4,max,natural,8064,128.0,12.52046130952381,10.22326548804041,64.0,2.4050099206349205,0.36474609375,0.7123108537268821,1178,3.8384883864131245,4
random_n04_04,random,4,4,min,static,7808,640.0,192.0,3.3333333333333335,240.0,0.0,,,0,3.268615836216016,4.0
random_n04_04,random,4,4,spectrum,high,3712,640.0,92.625,6.909581646423752,240.0,9.659752155172415,0.7236328125,0.6977553758566921,2119,5.107739141313349,8
random_n04_04,random,4,4,spectrum,natural,3584,640.0,46.6875,13.708165997322624,240.0,9.085100446428571,0.36474609375,0.7090643274853801,1995,4.8874441511440265,8
random_n04_05,random,4,4,max,high,8960,128.0,20.587053571428573,6.217499728938523,64.0,1.93359375,0.7236328125,0.7058705937229293,977,3.2464827813147497,4
random_n04_05,random,4,4,max,natural,8064,128.0,12.151785714285714,10.533431300514328,64.0,2.308531746031746,0.3525390625,0.7115821812596006,1013,5.089414646466672,4
random_n04_05,random,4,4,min,static,7808,640.0,192.0,3.3333333333333335,240.0,0.0,,,0,3.3809634545395735,4.0
random_n04_05,random,4,4,spectrum,high,3712,640.0,92.625,6.909581646423752,240.0,8.856411637931034,0.7236328125,0.7055400961295218,2025,4.689065149696751,8
random_n04_05,random,4,4,spectrum,natural,3584,640.0,45.125,14.182825484764543,240.0,9.136160714285714,0.3525390625,0.7064728798321845,1975,5.02084019459317,8
random_n04_06,random,4,4,max,high,8960,128.0,26.12890625,4.898789056660188,64.0,2.627232142857143,0.7236328125,0.6994888350820554,1623,3.2722014665767007,4
random_n04_06,random,4,4,max,natural,8064,128.0,12.594990079365079,10.16277100604533,64.0,2.3412698412698414,0.365234375,0.720217163304337,1114,3.61661392188292,4
random_n04_06,random,4,4,min,static,7808,640.0,160.0,4.0,240.0,0.0,,,0,3.568914344561751,4.0
random_n04_06,random,4,4,spectrum,high,3712,640.0,92.625,6.909581646423752,240.0,9.13469827586207,0.7236328125,0.7031097627045184,2009,5.343131570692195,8
random_n04_06,random,4,4,spectrum,natural,3584,640.0,46.75,13.689839572192513,240.0,8.833426339285714,0.365234375,0.7178492859539879,1852,4.91313362650964,8
random_n04_07,random,4,4,max,high,8960,128.0,23.378683035714285,5.475073159786703,64.0,2.0963169642857142,0.7236328125,0.7198360466458839,790,4.0537994112368745,4
random_n04_07,random,4,4,max,natural,8064,128.0,11.321800595238095,11.30562218644235,64.0,2.4012896825396823,0.33154296875,0.7040949481140869,1120,3.607512933861047,4
random_n04_07,random,4,4,min,static,7808,640.0,144.0,4.444444444444445,240.0,0.0,,,0,3.768086061456368,4.0
random_n04_07,random,4,4,spectrum,high,3712,640.0,92.625,6.909581646423752,240.0,9.011314655172415,0.7236328125,0.7085542341309643,1781,4.66287101940637,8
random_n04_07,random,4,4,spectrum,natural,3584,640.0,42.4375,15.08100147275405,240.0,9.16796875,0.33154296875,0.70123937544464,1966,4.963621055419829,8
random_n04_08,random,4,4,max,high,8960,128.0,24.688616071428573,5.1845757425071195,64.0,2.378125,0.7236328125,0.7031800145308221,1211,4.02342402774306,4
random_n04_08,random,4,4,max,natural,8064,128.0,12.053323412698413,10.619477767032244,64.0,2.4074900793650795,0.35595703125,0.7055337201322602,1139,3.562654044062007,4
random_n04_08,random,4,4,min,static,7808,640.0,160.0,4.0,240.0,0.0,,,0,3.82577613757419,4.0
random_n04_08,random,4,4,spectrum,high,3712,640.0,92.625,6.909581646423752,240.0,8.867995689655173,0.7236328125,0.7064427174730509,1773,4.944112338625311,8
random_n04_08,random,4,4,spectrum,natural,3584,640.0,45.5625,14.046639231824416,240.0,9.01953125,0.35595703125,0.7042880107667576,1923,4.88460925179094,8
random_n04_09,random,4,4,max,high,8960,128.0,23.341852678571428,5.483712101289548,64.0,2.3443080357142856,0.7236328125,0.7047968297155025,1172,3.864645809183005,4
random_n04_09,random,4,4,max,natural,8064,128.0,12.377232142857142,10.341568981064022,64.0,2.312251984126984,0.36474609375,0.7235751945769521,1153,4.762592105263158,4
random_n04_09,random,4,4,min,static,7808,640.0,128.0,5.0,240.0,0.0,,,0,4.286478561691401,4.0
random_n04_09,random,4,4,spectrum,high,3712,640.0,92.625,6.909581646423752,240.0,8.883351293103448,0.7236328125,0.7048689138576779,1661,4.8200887617545165,8
random_n04_09,random,4,4,spectrum,natural,3584,640.0,46.6875,13.708165997322624,240.0,8.662667410714286,0.36474609375,0.7264609176505754,1908,4.755121381449185,8
random_n05_00,random,5,5,max,high,5760,400.0,59.82326388888889,6.6863620270356545,160.0,2.1777777777777776,0.7802734375,0.7642002989536621,453,4.970901198208329,5
random_n05_00,random,5,5,max,natural,6400,400.0,23.51421875,17.010984045557542,160.0,2.12609375,0.286376953125,0.791027896456396,522,6.090929456962227,5
random_n05_00,random,5,5,min,static,2816,2960.0,560.0,5.285714285714286,992.0,0.0,,,0,6.255435505077213,6.4
random_n05_00,random,5,5,spectrum,high,1792,2960.0,399.5,7.409261576971214,992.0,14.061383928571429,0.7802734375,0.7719418244654043,895,6.726595399768937,10
random_n05_00,random,5,5,spectrum,natural,2048,2960.0,146.625,20.18755328218244,992.0,13.4326171875,0.286376953125,0.7909228537185391,1063,9.401573756078799,10
random_n05_01,random,5,5,max,high,5760,400.0,66.03055555555555,6.057801522863994,160.0,2.4324652777777778,0.7802734375,0.7736712665664708,586,5.017320061894147,5
random_n05_01,random,5,5,max,natural,6400,400.0,26.94578125,14.844624332426806,160.0,1.9065625,0.3310546875,0.816407246746619,526,6.3596209835811255,5
random_n05_01,random,5,5,min,static,2816,2960.0,496.0,5.967741935483871,992.0,0.0,,,0,6.5709444818893346,6.4
random_n05_01,random,5,5,spectrum,high,1792,2960.0,399.5,7.409261576971214,992.0,14.248883928571429,0.7802734375,0.7729778418303008,917,7.4172745723750095,10
random_n05_01,random,5,5,spectrum,natural,2048,2960.0,169.5,17.463126843657818,992.0,12.06103515625,0.3310546875,0.8137211647548216,1036,7.056757678434448,10
random_n05_02,random,5,5,max,high,5760,400.0,69.05815972222223,5.792219219407957,160.0,2.3769097222222224,0.7802734375,0.7746909564085882,542,4.640559850421303,5
random_n05_02,random,5,5,max,natural,6400,400.0,24.31796875,16.448742249494007,160.0,1.953125,0.294677734375,0.804932875429285,501,6.328337002449291,5
random_n05_02,random,5,5,min,static,2816,2960.0,496.0,5.967741935483871,992.0,0.0,,,0,6.812073181835921,6.4
random_n05_02,random,5,5,spectrum,high,1792,2960.0,399.5,7.409261576971214,992.0,13.993303571428571,0.7802734375,0.7722326318823869,921,6.46155739814473,10
random_n05_02,random,5,5,spectrum,natural,2048,2960.0,150.875,19.618889809444905,992.0,12.115234375,0.294677734375,0.8037403740374037,954,9.652587525834997,10
random_n05_03,random,5,5,max,high,5760,400.0,70.578125,5.667478414877131,160.0,2.4265625,0.7802734375,0.7810001269196598,498,4.949654014268189,5
random_n05_03,random,5,5,max,natural,6400,400.0,25.6471875,15.596252025685077,160.0,2.18078125,0.307373046875,0.7858689599703026,565,6.211368991853845,5
random_n05_03,random,5,5,min,static,2816,2960.0,496.0,5.967741935483871,992.0,0.0,,,0,5.687539505326169,6.4
random_n05_03,random,5,5,spectrum,high,1792,2960.0,399.5,7.409261576971214,992.0,14.194754464285714,0.7802734375,0.7725618762834601,915,5.900923767261017,10
random_n05_03,random,5,5,spectrum,natural,2048,2960.0,157.375,18.80857823669579,992.0,13.359375,0.307373046875,0.7834402919340632,980,9.250214958520566,10
random_n05_04,random,5,5,max,high,5760,400.0,62.952083333333334,6.354039117053314,160.0,2.1876736111111112,0.7802734375,0.774729548186382,386,4.8809847783885765,5
random_n05_04,random,5,5,max,natural,6400,400.0,24.7596875,16.15529275157451,160.0,2.3071875,0.297607421875,0.7625405540304467,480,6.151985409909236,5
random_n05_04,random,5,5,min,static,2816,2960.0,560.0,5.285714285714286,992.0,0.0,,,0,5.950088168190922,6.4
random_n05_04,random,5,5,spectrum,high,1792,2960.0,399.5,7.409261576971214,992.0,13.887834821428571,0.7802734375,0.7736425746134484,862,7.436219611574807,10
random_n05_04,random,5,5,spectrum,natural,2048,2960.0,152.375,19.425758818703855,992.0,14.6220703125,0.297607421875,0.7585370463709677,1024,9.13105085555589,10
random_n05_05,random,5,5,max,high,5760,400.0,61.33003472222222,6.522089899536037,160.0,2.195659722222222,0.7802734375,0.7685883818035308,510,5.000751751454545,5
random_n05_05,random,5,5,max,natural,6400,400.0,23.21203125,17.23244276607632,160.0,2.2328125,0.279296875,0.7737954982327774,503,5.995432482656423,5
random_n05_05,random,5,5,min,static,2816,2960.0,592.0,5.0,992.0,0.0,,,0,6.26773263408451,6.4
random_n05_05,random,5,5,spectrum,high,1792,2960.0,399.5,7.409261576971214,992.0,14.317522321428571,0.7802734375,0.77,975,8.060201659231796,10
random_n05_05,random,5,5,spectrum,natural,2048,2960.0,143.0,20.6993006993007,992.0,13.97265625,0.279296875,0.7718524585000157,1021,8.797461806867648,10
random_n05_06,random,5,5,max,high,5760,400.0,62.842708333333334,6.365098045715991,160.0,2.255729166666667,0.7802734375,0.7642201181746993,456,4.664160947600337,5
random_n05_06,random,5,5,max,natural,6400,400.0,25.1140625,15.92733154980402,160.0,2.2065625,0.302734375,0.7782022056558437,507,6.002582555154874,5
random_n05_06,random,5,5,min,static,2816,2960.0,432.0,6.851851851851852,992.0,0.0,,,0,6.385540100627357,6.4
random_n05_06,random,5,5,spectrum,high,1792,2960.0,399.5,7.409261576971214,992.0,13.841517857142858,0.7802734375,0.7729004889272362,856,7.465079202176143,10
random_n05_06,random,5,5,spectrum,natural,2048,2960.0,155.0,19.096774193548388,992.0,13.5458984375,0.302734375,0.7801965849662907,1026,9.310134045495856,10
random_n05_07,random,5,5,max,high,5760,400.0,52.14982638888889,7.670207701501083,160.0,1.7538194444444444,0.7802734375,0.7757901013714967,349,5.250908985055634,5
random_n05_07,random,5,5,max,natural,6400,400.0,25.65453125,15.591787513170797,160.0,2.238125,0.310546875,0.7907659627639635,550,5.959356221328592,5
random_n05_07,random,5,5,min,static,2816,2960.0,464.0,6.379310344827586,992.0,0.0,,,0,6.977073740621176,6.4
random_n05_07,random,5,5,spectrum,high,1792,2960.0,399.5,7.409261576971214,992.0,13.811383928571429,0.7802734375,0.7742272122062687,883,7.585027193560597,10
random_n05_07,random,5,5,spectrum,natural,2048,2960.0,159.0,18.61635220125786,992.0,13.55029296875,0.310546875,0.7931382124066665,1026,7.049363137016814,10
random_n05_08,random,5,5,max,high,5760,400.0,61.185763888888886,6.537468433447777,160.0,2.1769097222222222,0.7802734375,0.7708806090330137,452,5.0324520353866085,5
random_n05_08,random,5,5,max,natural,6400,400.0,23.93234375,16.71378299503157,160.0,2.3340625,0.28759765625,0.7633914716653218,519,4.550443191376059,5
random_n05_08,random,5,5,min,static,2816,2960.0,528.0,5.606060606060606,992.0,0.0,,,0,6.3582056007551575,6.4
random_n05_08,random,5,5,spectrum,high,1792,2960.0,399.5,7.409261576971214,992.0,14.008370535714286,0.7802734375,0.7749134698586674,936,7.742028475722051,10
random_n05_08,random,5,5,spectrum,natural,2048,2960.0,147.25,20.1018675721562,992.0,14.35302734375,0.28759765625,0.762271869100063,987,9.436555813297355,10
random_n05_09,random,5,5,max,high,5760,400.0,70.68402777777777,5.658987080611092,160.0,2.4046875,0.7802734375,0.7739371767377318,434,5.005681263265213,5
random_n05_09,random,5,5,max,natural,6400,400.0,24.7653125,16.15162336433267,160.0,1.95703125,0.301513671875,0.8048580957774841,498,6.117825357838108,5
random_n05_09,random,5,5,min,static,2816,2960.0,560.0,5.285714285714286,992.0,0.0,,,0,6.408109572312398,6.4
random_n05_09,random,5,5,spectrum,high,1792,2960.0,399.5,7.409261576971214,992.0,13.861049107142858,0.7802734375,0.7745548535324526,816,7.477088041264522,10
random_n05_09,random,5,5,spectrum,natural,2048,2960.0,154.375,19.17408906882591,992.0,12.5029296875,0.301513671875,0.8023002993540255,1033,9.291008645033495,10
random_n06_00,random,6,6,max,high,3456,1152.0,169.921875,6.779586206896552,384.0,2.078125,0.829833984375,0.8292638149440059,150,6.47205772609485,6
random_n06_00,random,6,6,max,natural,4992,1152.0,50.34735576923077,22.881042755854757,384.0,2.125400641025641,0.2568359375,0.8190641943905215,246,9.847340035451236,6
random_n06_00,random,6,6,min,static,1152,13440.0,1536.0,8.75,4032.0,0.0,,,0,10.625634204923584,10.666666666666666
random_n06_00,random,6,6,spectrum,high,768,13440.0,1699.5,7.908208296557811,4032.0,21.704427083333332,0.829833984375,0.8287606041795986,413,10.958048032880496,12
random_n06_00,random,6,6,spectrum,natural,1152,13440.0,526.0,25.55133079847909,4032.0,21.907118055555557,0.2568359375,0.8230222565006611,560,19.415882357416766,12
random_n06_01,random,6,6,max,high,3456,1152.0,156.48090277777777,7.361920717162415,384.0,1.9780092592592593,0.829833984375,0.8283462996209854,162,6.637398385915222,6
random_n06_01,random,6,6,max,natural,4992,1152.0,43.393229166666664,26.547920542519353,384.0,2.1424278846153846,0.2225341796875,0.8186853520186853,241,11.691708851521588,6
random_n06_01,random,6,6,min,static,1152,13440.0,1472.0,9.130434782608695,4032.0,0.0,,,0,10.61564600944576,10.666666666666666
random_n06_01,random,6,6,spectrum,high,768,13440.0,1699.5,7.908208296557811,4032.0,21.186197916666668,0.829833984375,0.830900897176169,389,9.906188638897293,12
random_n06_01,random,6,6,spectrum,natural,1152,13440.0,455.75,29.489851892484914,4032.0,22.359375,0.2225341796875,0.8204294258702902,583,18.833096462878398,12
random_n06_02,random,6,6,max,high,3456,1152.0,165.08912037037038,6.97804917377679,384.0,2.0847800925925926,0.829833984375,0.8298798372599111,171,5.825874666985184,6
random_n06_02,random,6,6,max,natural,4992,1152.0,47.15444711538461,24.430357484228637,384.0,2.011418269230769,0.2398681640625,0.8333884953994837,221,10.660481873104002,6
random_n06_02,random,6,6,min,static,1152,13440.0,1408.0,9.545454545454545,4032.0,0.0,,,0,11.212404891845598,10.666666666666666
random_n06_02,random,6,6,spectrum,high,768,13440.0,1699.5,7.908208296557811,4032.0,21.713541666666668,0.829833984375,0.8264842070448156,388,11.204123277359791,12
random_n06_02,random,6,6,spectrum,natural,1152,13440.0,491.25,27.358778625954198,4032.0,21.828125,0.2398681640625,0.8282171397079086,573,19.53007158444313,12
random_n06_03,random,6,6,max,high,3456,1152.0,163.75115740740742,7.035064779016263,384.0,2.072048611111111,0.829833984375,0.8256058004197672,174,6.186331173756932,6
random_n06_03,random,6,6,max,natural,4992,1152.0,49.49399038461539,23.275553073168364,384.0,1.9096554487179487,0.252685546875,0.8406770553465879,243,9.315333908908107,6
random_n06_03,random,6,6,min,static,1152,13440.0,1664.0,8.076923076923077,4032.0,0.0,,,0,9.909320417983668,10.666666666666666
random_n06_03,random,6,6,spectrum,high,768,13440.0,1699.5,7.908208296557811,4032.0,22.055989583333332,0.829833984375,0.826074368201183,399,10.78469433428243,12
random_n06_03,random,6,6,spectrum,natural,1152,13440.0,517.5,25.971014492753625,4032.0,20.172743055555557,0.252685546875,0.8400518006227096,570,18.95426311941621,12
random_n06_04,random,6,6,max,high,3456,1152.0,161.80034722222223,7.119885833234975,384.0,2.019675925925926,0.829833984375,0.8321421672783466,174,6.613754455484009,6
random_n06_04,random,6,6,max,natural,4992,1152.0,45.294270833333336,25.43368021617892,384.0,2.031650641025641,0.2320556640625,0.8305707793075792,218,11.351166489998667,6
random_n06_04,random,6,6,min,static,1152,13440.0,1472.0,9.130434782608695,4032.0,0.0,,,0,10.74636853028475,10.666666666666666
random_n06_04,random,6,6,spectrum,high,768,13440.0,1699.5,7.908208296557811,4032.0,21.9453125,0.829833984375,0.8263819927176431,408,10.696304142012892,12
random_n06_04,random,6,6,spectrum,natural,1152,13440.0,475.25,28.279852709100474,4032.0,22.108506944444443,0.2320556640625,0.8239574432898762,585,18.342842681369547,12
random_n06_05,random,6,6,max,high,3456,1152.0,148.96527777777777,7.733345764766211,384.0,1.9809027777777777,0.829833984375,0.8261507811680822,161,6.700489078661924,6
random_n06_05,random,6,6,max,natural,4992,1152.0,43.85877403846154,26.266124059686767,384.0,2.1951121794871793,0.2265625,0.8153918474246189,253,11.466888567293777,6
random_n06_05,random,6,6,min,static,1152,13440.0,1536.0,8.75,4032.0,0.0,,,0,8.187840202617954,10.666666666666666
random_n06_05,random,6,6,spectrum,high,768,13440.0,1699.5,7.908208296557811,4032.0,21.6953125,0.829833984375,0.8278725777796141,374,10.757813913414191,12
random_n06_05,random,6,6,spectrum,natural,1152,13440.0,464.0,28.96551724137931,4032.0,23.06423611111111,0.2265625,0.8159724137931035,615,18.957081142467093,12
random_n06_06,random,6,6,max,high,3456,1152.0,163.5474537037037,7.043827182336082,384.0,2.0558449074074074,0.829833984375,0.830453460620525,153,5.190417098864708,6
random_n06_06,random,6,6,max,natural,4992,1152.0,47.21394230769231,24.399572323201465,384.0,1.8661858974358974,0.2413330078125,0.8524284763805722,237,11.285225341143805,6
random_n06_06,random,6,6,min,static,1152,13440.0,1472.0,9.130434782608695,4032.0,0.0,,,0,10.82529858077127,10.666666666666666
random_n06_06,random,6,6,spectrum,high,768,13440.0,1699.5,7.908208296557811,4032.0,21.411458333333332,0.829833984375,0.8299314106272209,375,10.790523136005996,12
random_n06_06,random,6,6,spectrum,natural,1152,13440.0,494.25,27.192716236722305,4032.0,19.42621527777778,0.2413330078125,0.8516139702842022,590,18.902894917022273,12
random_n06_07,random,6,6,max,high,3456,1152.0,161.60300925925927,7.128580125335721,384.0,2.107349537037037,0.829833984375,0.8248379920688654,182,6.553930868650436,6
random_n06_07,random,6,6,max,natural,4992,1152.0,45.58353365384615,25.272283819593678,384.0,1.9919871794871795,0.2347412109375,0.8307516931536244,250,11.302690831924789,6
random_n06_07,random,6,6,min,static,1152,13440.0,1600.0,8.4,4032.0,0.0,,,0,8.93710412130503,10.666666666666666
random_n06_07,random,6,6,spectrum,high,768,13440.0,1699.5,7.908208296557811,4032.0,21.317708333333332,0.829833984375,0.8299789230069843,379,10.957930416974861,12
random_n06_07,random,6,6,spectrum,natural,1152,13440.0,480.75,27.95631825273011,4032.0,20.999131944444443,0.2347412109375,0.831500316987789,587,18.48271579604591,12
random_n06_08,random,6,6,max,high,3456,1152.0,168.45457175925927,6.838638975297975,384.0,2.120949074074074,0.829833984375,0.8302480562754535,152,4.558860246158975,6
random_n06_08,random,6,6,max,natural,4992,1152.0,45.477964743589745,25.330948878102067,384.0,1.7784455128205128,0.234375,0.8547921284169521,220,11.512507986096258,6
random_n06_08,random,6,6,min,static,1152,13440.0,1728.0,7.777777777777778,4032.0,0.0,,,0,9.707808002142233,10.666666666666666
random_n06_08,random,6,6,spectrum,high,768,13440.0,1699.5,7.908208296557811,4032.0,21.561197916666668,0.829833984375,0.8293903548680619,401,10.971230468297259,12
random_n06_08,random,6,6,spectrum,natural,1152,13440.0,480.0,28.0,4032.0,19.3515625,0.234375,0.8523031121647324,590,19.17329092375235,12
random_n06_09,random,6,6,max,high,3456,1152.0,163.3460648148148,7.052511496411136,384.0,2.0277777777777777,0.829833984375,0.8279323200458847,163,6.547359269984591,6
random_n06_09,random,6,6,max,natural,4992,1152.0,45.697315705128204,25.209358191486096,384.0,1.913661858974359,0.2332763671875,0.8376119802112582,231,10.849162333759406,6
random_n06_09,random,6,6,min,static,1152,13440.0,1344.0,10.0,4032.0,0.0,,,0,10.117140529738231,10.666666666666666
random_n06_09,random,6,6,spectrum,high,768,13440.0,1699.5,7.908208296557811,4032.0,21.350260416666668,0.829833984375,0.8302596758187232,392,10.753541360207816,12
random_n06_09,random,6,6,spectrum,natural,1152,13440.0,477.75,28.13186813186813,4032.0,20.569444444444443,0.2332763671875,0.8360411962328579,550,17.915424498340645,12
random_n07_00,random,7,7,max,high,2176,3136.0,404.64430147058823,7.75001646780374,896.0,1.7454044117647058,0.87042236328125,0.8761333163069851,49,7.888909320559855,7
random_n07_00,random,7,7,max,natural,2176,3136.0,85.30422794117646,36.76253892318798,896.0,1.5790441176470589,0.19073486328125,0.8885072655217966,52,20.24230459249197,7
random_n07_00,random,7,7,min,static,384,60480.0,4288.0,14.104477611940299,16256.0,0.0,,,0,19.295259049610813,18.285714285714285
random_n07_00,random,7,7,spectrum,high,256,60480.0,7130.5,8.481873641399622,16256.0,33.78515625,0.87042236328125,0.8702482903086686,152,14.7201842646175,14
random_n07_00,random,7,7,spectrum,natural,640,60480.0,1562.5,38.7072,16256.0,28.19375,0.19073486328125,0.890511307767945,280,38.344990835641546,14
random_n07_01,random,7,7,max,high,2176,3136.0,362.68014705882354,8.646737422579044,896.0,1.6332720588235294,0.87042236328125,0.8716494114310027,53,8.773118389127685,7
random_n07_01,random,7,7,max,natural,2176,3136.0,90.06985294117646,34.81742111922936,896.0,1.7665441176470589,0.19879150390625,0.8745087765260676,61,19.773994292101584,7
random_n07_01,random,7,7,min,static,384,60480.0,4416.0,13.695652173913043,16256.0,0.0,,,0,18.941629610534683,18.285714285714285
random_n07_01,random,7,7,spectrum,high,256,60480.0,7130.5,8.481873641399622,16256.0,32.7109375,0.87042236328125,0.8697657258808338,120,14.026484342260657,14
random_n07_01,random,7,7,spectrum,natural,640,60480.0,1628.5,37.13847098556954,16256.0,31.6265625,0.19879150390625,0.8763340382629223,294,35.81202196584181,14
random_n07_02,random,7,7,max,high,2176,3136.0,395.1686580882353,7.935852036372221,896.0,1.8653492647058822,0.87042236328125,0.8669873878559355,52,8.514465399332805,7
random_n07_02,random,7,7,max,natural,2176,3136.0,91.77251838235294,34.171449746365745,896.0,1.7922794117647058,0.20623779296875,0.8680564718300567,59,19.214850228837996,7
random_n07_02,random,7,7,min,static,384,60480.0,3904.0,15.491803278688524,16256.0,0.0,,,0,20.330919417903317,18.285714285714285
random_n07_02,random,7,7,spectrum,high,256,60480.0,7130.5,8.481873641399622,16256.0,32.703125,0.87042236328125,0.8730060971854406,144,14.720774631690317,14
random_n07_02,random,7,7,spectrum,natural,640,60480.0,1689.5,35.79757324652264,16256.0,34.6484375,0.20623779296875,0.8629998769533653,322,35.5669851126814,14
random_n07_03,random,7,7,max,high,2176,3136.0,389.92693014705884,8.042532478629457,896.0,1.822610294117647,0.87042236328125,0.8716323296354992,58,8.548963316692461,7
random_n07_03,random,7,7,max,natural,2176,3136.0,89.24172794117646,35.14051186981822,896.0,1.8598345588235294,0.19873046875,0.8674967234600263,59,20.059898719619365,7
random_n07_03,random,7,7,min,static,384,60480.0,3648.0,16.57894736842105,16256.0,0.0,,,0,21.94444747234017,18.285714285714285
