case,group,n,metric,steps,m,profile,baseline_us,proposed_us,paired_speedup,baseline_total_ms,proposed_total_ms,total_speedup,reference_growth_factor,speedup_over_reference_factor
MISTY1_S9,practical,9,spectrum,128,9,natural,1448.3159765625,11.830046875,122.42690091306167,186.142224,2.366117,78.66991530849911,18,6.801494495170093
PRESENT,practical,4,max,8960,4,high,0.2901575892857143,0.07430837053571429,3.9047766381347033,2.610554,0.676418,3.8593798509205848,4,0.9761941595336758
PRESENT,practical,4,max,8064,4,natural,0.3252357390873016,0.0928482142857143,3.5028755435885923,2.631982,0.759964,3.4632982614965973,4,0.8757188858971481
PRESENT,practical,4,min,7808,4,static,0.5395411116803278,0.13744249487704918,3.9255771089063884,4.233666,1.082763,3.9100578797022068,4.0,0.9813942772265971
PRESENT,practical,4,spectrum,3712,4,high,1.1058181573275863,0.3346417025862069,3.3044840161327977,4.115501,1.265072,3.2531753133418495,8,0.4130605020165997
PRESENT,practical,4,spectrum,3584,4,natural,1.123693359375,0.24131752232142858,4.656493024481953,4.037381,0.875988,4.608945556331822,8,0.5820616280602441
random_n03_00,random,3,max,15744,3,high,0.0872092225609756,0.028797192581300812,3.028393212802421,1.389621,0.461171,3.013244544865137,3,1.0094644042674736
random_n03_00,random,3,max,11008,3,natural,0.09026862281976744,0.03742550872093023,2.411954463808923,1.004332,0.432307,2.3231916207694994,3,0.803984821269641
random_n03_00,random,3,min,8448,3,static,0.14451089015151516,0.06398011363636363,2.2586844870713265,1.237727,0.548994,2.254536479451506,2.6666666666666665,0.8470066826517475
random_n03_00,random,3,spectrum,9344,3,high,0.22310498715753424,0.05232823202054794,4.263568222024522,2.095729,0.497645,4.211293190929276,6,0.7105947036707536
random_n03_00,random,3,spectrum,6528,3,natural,0.2824522058823529,0.10309895833333332,2.739622305097841,1.865588,0.693818,2.6888722979225097,6,0.45660371751630685
random_n03_01,random,3,max,15744,3,high,0.08173837652439024,0.02982418699186992,2.740674089344737,1.294717,0.47747,2.7116195781933943,3,0.9135580297815791
random_n03_01,random,3,max,11008,3,natural,0.09745939316860465,0.035936864098837215,2.7119615362253624,1.085201,0.406508,2.6695686185757723,3,0.9039871787417875
random_n03_01,random,3,min,8448,3,static,0.13002331912878787,0.056821732954545456,2.288267399954169,1.107398,0.492959,2.2464302305059856,2.6666666666666665,0.8581002749828135
random_n03_01,random,3,spectrum,9344,3,high,0.22876294948630138,0.053023865582191784,4.314339344642803,2.146482,0.503383,4.264113011365103,6,0.7190565574404671
random_n03_01,random,3,spectrum,6528,3,natural,0.2856943933823529,0.09573805147058823,2.9841258412296114,1.875717,0.645575,2.905498199279712,6,0.4973543068716019
random_n03_02,random,3,max,15744,3,high,0.08105024136178862,0.03481561229674796,2.3279855218677086,1.284414,0.563984,2.27739439416721,3,0.7759951739559029
random_n03_02,random,3,max,11008,3,natural,0.09894749273255815,0.036680232558139535,2.697569939768585,1.099067,0.414251,2.6531426598849492,3,0.8991899799228616
random_n03_02,random,3,min,8448,3,static,0.1299285037878788,0.05663577178030303,2.294106705067728,1.10789,0.486779,2.275960959696289,2.6666666666666665,0.860290014400398
random_n03_02,random,3,spectrum,9344,3,high,0.22095580051369862,0.06456731592465753,3.422099824801887,2.072768,0.619675,3.3449275830072214,6,0.5703499708003145
random_n03_02,random,3,spectrum,6528,3,natural,0.2905477941176471,0.07518229166666666,3.864577517879338,1.907,0.511337,3.7294387067628585,6,0.6440962529798896
random_n03_03,random,3,max,15744,3,high,0.08366920731707317,0.051852642276422764,1.61359582933187,1.325687,0.832165,1.5930578671297158,3,0.5378652764439567
random_n03_03,random,3,max,11008,3,natural,0.10808421148255815,0.08099609375,1.3344373349184897,1.199965,0.912062,1.3156616545805,3,0.4448124449728299
random_n03_03,random,3,min,8448,3,static,0.13130587121212123,0.09103172348484849,1.4424188204453368,1.118402,0.785344,1.4240918629288564,2.6666666666666665,0.5409070576670013
random_n03_03,random,3,spectrum,9344,3,high,0.2235224743150685,0.0514296875,4.34617601584821,2.096903,0.488467,4.292824284956814,6,0.724362669308035
random_n03_03,random,3,spectrum,6528,3,natural,0.31549310661764707,0.13623023897058822,2.315881620715363,2.070003,0.910139,2.2743811659537716,6,0.3859802701192272
random_n03_04,random,3,max,15744,3,high,0.08895604674796748,0.04011877540650406,2.217317100201067,1.429641,0.647626,2.207510198787572,3,0.7391057000670224
random_n03_04,random,3,max,11008,3,natural,0.10011746002906977,0.031320585029069765,3.1965386322173464,1.12232,0.35491,3.1622664900960804,3,1.065512877405782
random_n03_04,random,3,min,8448,3,static,0.13041276041666666,0.055278645833333334,2.359188769020587,1.109916,0.474952,2.3369014131954384,2.6666666666666665,0.8846957883827201
random_n03_04,random,3,spectrum,9344,3,high,0.2357712970890411,0.07025224743150685,3.3560676805237977,2.211255,0.673226,3.2845656584861547,6,0.5593446134206329
random_n03_04,random,3,spectrum,6528,3,natural,0.31480882352941175,0.06346124387254902,4.96064691328224,2.076241,0.424469,4.891384294259416,6,0.8267744855470399
random_n03_05,random,3,max,15744,3,high,0.08786248729674798,0.031017594004065042,2.832666108313658,1.391125,0.49627,2.8031615854272873,3,0.9442220361045527
random_n03_05,random,3,max,11008,3,natural,0.10102870639534883,0.03441678779069768,2.9354484506150023,1.132471,0.388562,2.9145181463961993,3,0.9784828168716674
random_n03_05,random,3,min,8448,3,static,0.16640897253787879,0.1254045928030303,1.3269766985269271,1.422742,1.076006,1.3222435562626973,2.6666666666666665,0.49761626194759767
random_n03_05,random,3,spectrum,9344,3,high,0.2264838398972603,0.05254890839041096,4.30996279151231,2.124314,0.498906,4.257944382308491,6,0.7183271319187184
random_n03_05,random,3,spectrum,6528,3,natural,0.2748995098039215,0.061801317401960786,4.448117311415108,1.806542,0.413632,4.36751025065759,6,0.7413528852358513
random_n03_06,random,3,max,15744,3,high,0.08424263211382114,0.0364427718495935,2.3116417286123867,1.335027,0.590003,2.2627461216298896,3,0.7705472428707956
random_n03_06,random,3,max,11008,3,natural,0.09108094113372092,0.0295304324127907,3.084307735848476,1.012462,0.334904,3.0231409597974346,3,1.0281025786161586
random_n03_06,random,3,min,8448,3,static,0.13471969696969696,0.050839607007575754,2.649896505880189,1.146351,0.437461,2.6204644528312238,2.6666666666666665,0.9937111897050709
random_n03_06,random,3,spectrum,9344,3,high,0.22432544948630137,0.05455329623287671,4.112042075857388,2.104276,0.517645,4.065094804354335,6,0.6853403459762313
random_n03_06,random,3,spectrum,6528,3,natural,0.25456357230392157,0.055222120098039215,4.609811645260618,1.672396,0.372468,4.490039412781769,6,0.7683019408767696
random_n03_07,random,3,max,15744,3,high,0.09146684451219513,0.029804052337398374,3.068939870214285,1.45595,0.476943,3.0526708642332525,3,1.022979956738095
random_n03_07,random,3,max,11008,3,natural,0.08441987645348838,0.032813862645348836,2.572689395512368,0.939879,0.381873,2.4612344941904767,3,0.857563131837456
random_n03_07,random,3,min,8448,3,static,0.12955480587121213,0.06039050662878787,2.1452843021762953,1.103149,0.518218,2.1287353970722744,2.6666666666666665,0.8044816133161108
random_n03_07,random,3,spectrum,9344,3,high,0.22507705479452053,0.05399967893835616,4.168118389212265,2.111421,0.512602,4.119026067007152,6,0.6946863982020441
random_n03_07,random,3,spectrum,6528,3,natural,0.24500827205882353,0.07933455882352941,3.088291857824737,1.61441,0.538724,2.9967293085141926,6,0.5147153096374562
random_n03_08,random,3,max,15744,3,high,0.08104039634146341,0.027190485264227644,2.9804689233730524,1.283678,0.437909,2.9313807206520077,3,0.9934896411243508
random_n03_08,random,3,max,11008,3,natural,0.09740098110465116,0.044832576308139534,2.1725492738851955,1.081972,0.513553,2.106836100655628,3,0.7241830912950652
random_n03_08,random,3,min,8448,3,static,0.1496233428030303,0.06730823863636363,2.2229573353030143,1.28153,0.576549,2.2227599041885426,2.6666666666666665,0.8336090007386304
random_n03_08,random,3,spectrum,9344,3,high,0.21947474315068494,0.09094081763698629,2.413379919529368,2.064839,0.866419,2.383187580143095,6,0.402229986588228
random_n03_08,random,3,spectrum,6528,3,natural,0.31733609068627455,0.06970557598039215,4.552520888365368,2.094423,0.475465,4.404999316458625,6,0.758753481394228
random_n03_09,random,3,max,15744,3,high,0.08216260162601625,0.03227794715447155,2.545471718904963,1.309414,0.524572,2.4961568669315173,3,0.8484905729683211
random_n03_09,random,3,max,11008,3,natural,0.09723210392441861,0.031834938226744186,3.0542576596782895,1.080474,0.360442,2.997636235510845,3,1.0180858865594298
random_n03_09,random,3,min,8448,3,static,0.1299183238636364,0.05400213068181818,2.4057999605444866,1.105821,0.464269,2.3818540544382674,2.6666666666666665,0.9021749852041825
random_n03_09,random,3,spectrum,9344,3,high,0.21995965325342465,0.053312928082191784,4.125822031652735,2.072041,0.505945,4.095387838599057,6,0.6876370052754558
random_n03_09,random,3,spectrum,6528,3,natural,0.28792386642156864,0.06775750612745098,4.249327976740874,1.890883,0.452595,4.177869839481214,6,0.7082213294568124
random_n04_00,random,4,max,8960,4,high,0.24909832589285713,0.08194174107142857,3.039944265715788,2.242465,0.756289,2.965090064776825,4,0.759986066428947
random_n04_00,random,4,max,8064,4,natural,0.3298106398809524,0.07102926587301588,4.643306330528301,2.670308,0.586341,4.554189456306142,4,1.1608265826320752
random_n04_00,random,4,min,7808,4,static,0.5410646772540983,0.13242072233606558,4.085951712912052,4.245441,1.042511,4.072322498275797,4.0,1.021487928228013
random_n04_00,random,4,spectrum,3712,4,high,1.137250808189655,0.2230994073275862,5.097507079074316,4.246183,0.839812,5.0561113677823135,8,0.6371883848842895
random_n04_00,random,4,spectrum,3584,4,natural,1.1857240513392857,0.23372293526785715,5.073203663048266,4.296803,0.848999,5.061022451145408,8,0.6341504578810333
random_n04_01,random,4,max,8960,4,high,0.29527767857142856,0.07160424107142857,4.123745663010035,2.667568,0.653702,4.080709558789785,4,1.0309364157525087
random_n04_01,random,4,max,8064,4,natural,0.27354117063492067,0.07790972222222223,3.511001744489578,2.216981,0.654184,3.3889257456617714,4,0.8777504361223945
random_n04_01,random,4,min,7808,4,static,0.5003883196721312,0.11357056864754098,4.405968250674648,3.922556,0.895619,4.379715035076299,4.0,1.101492062668662
random_n04_01,random,4,spectrum,3712,4,high,1.104486260775862,0.2218515625,4.978492142807704,4.112492,0.83494,4.925494047476465,8,0.622311517850963
random_n04_01,random,4,spectrum,3584,4,natural,1.1030262276785714,0.206626953125,5.338249492607531,3.965374,0.751487,5.276703389413257,8,0.6672811865759414
random_n04_02,random,4,max,8960,4,high,0.2809607142857143,0.07156941964285714,3.925708992580256,2.527903,0.660882,3.8250444103485948,4,0.981427248145064
random_n04_02,random,4,max,8064,4,natural,0.329359623015873,0.09201810515873017,3.5792915149440585,2.676213,0.752407,3.5568688223262144,4,0.8948228787360146
random_n04_02,random,4,min,7808,4,static,0.5012517930327869,0.1409546618852459,3.5561207151904366,3.924118,1.109415,3.537105591685708,4.0,0.8890301787976091
random_n04_02,random,4,spectrum,3712,4,high,1.0960296336206898,0.22169962284482758,4.9437595768389055,4.081683,0.834236,4.892719805906243,8,0.6179699471048632
random_n04_02,random,4,spectrum,3584,4,natural,1.1274324776785714,0.2641068638392857,4.268849590992215,4.052746,0.969101,4.181964521757794,8,0.5336061988740268
random_n04_03,random,4,max,8960,4,high,0.28643895089285715,0.07552165178571428,3.792805693731398,2.577138,0.687188,3.750266302671176,4,0.9482014234328495
random_n04_03,random,4,max,8064,4,natural,0.33811383928571426,0.09463454861111112,3.572837238069903,2.765069,0.773437,3.575041018208335,4,0.8932093095174758
random_n04_03,random,4,min,7808,4,static,0.4840259989754098,0.1345375256147541,3.5977025500038553,3.790911,1.060893,3.57332077787298,4.0,0.8994256375009638
random_n04_03,random,4,spectrum,3712,4,high,1.1100110452586207,0.3090474137931034,3.5917176320450777,4.132288,1.170077,3.5316376614530496,8,0.4489647040056347
random_n04_03,random,4,spectrum,3584,4,natural,1.1415239955357142,0.2363777901785714,4.829235414517374,4.111286,0.858795,4.787272864886265,8,0.6036544268146717
random_n04_04,random,4,max,8960,4,high,0.28092500000000004,0.10031127232142857,2.80053271680005,2.527853,0.920549,2.7460276422004695,4,0.7001331792000125
random_n04_04,random,4,max,8064,4,natural,0.35172767857142856,0.09163182043650794,3.8384883864131245,2.858211,0.749312,3.8144471194909464,4,0.9596220966032811
random_n04_04,random,4,min,7808,4,static,0.4922967469262295,0.15061321721311474,3.268615836216016,3.853796,1.184698,3.252977552085004,4.0,0.817153959054004
random_n04_04,random,4,spectrum,3712,4,high,1.154889816810345,0.22610587284482758,5.107739141313349,4.298979,0.85037,5.055421757587874,8,0.6384673926641686
random_n04_04,random,4,spectrum,3584,4,natural,1.16959375,0.23930580357142858,4.8874441511440265,4.205005,0.871654,4.824167616967283,8,0.6109305188930033
random_n04_05,random,4,max,8960,4,high,0.2598584821428572,0.08004308035714286,3.2464827813147497,2.339829,0.739337,3.164766540833206,4,0.8116206953286874
random_n04_05,random,4,max,8064,4,natural,0.3148557787698413,0.061864831349206346,5.089414646466672,2.550002,0.510244,4.997612906766174,4,1.272353661616668
random_n04_05,random,4,min,7808,4,static,0.49530724897540984,0.14649884733606558,3.3809634545395735,3.877473,1.152483,3.3644513628400596,4.0,0.8452408636348934
random_n04_05,random,4,spectrum,3712,4,high,1.1009727909482758,0.2347957974137931,4.689065149696751,4.099109,0.893684,4.586754378505154,8,0.5861331437120939
random_n04_05,random,4,spectrum,3584,4,natural,1.1910262276785712,0.23721651785714287,5.02084019459317,4.293887,0.861179,4.986056325107788,8,0.6276050243241462
random_n04_06,random,4,max,8960,4,high,0.2782006696428571,0.08501941964285714,3.2722014665767007,2.503425,0.798268,3.136070843375909,4,0.8180503666441752
random_n04_06,random,4,max,8064,4,natural,0.3273654513888889,0.0905171130952381,3.61661392188292,2.661757,0.740554,3.594278067500817,4,0.90415348047073
random_n04_06,random,4,min,7808,4,static,0.5042069672131148,0.14127740778688525,3.568914344561751,3.957396,1.111604,3.560077149776359,4.0,0.8922285861404378
random_n04_06,random,4,spectrum,3712,4,high,1.179264547413793,0.22070662715517242,5.343131570692195,4.401957,0.830616,5.299629431650727,8,0.6678914463365244
random_n04_06,random,4,spectrum,3584,4,natural,1.1695890066964287,0.23805357142857142,4.91313362650964,4.217136,0.864229,4.879651110990258,8,0.614141703313705
random_n04_07,random,4,max,8960,4,high,0.2873989955357143,0.07089620535714286,4.0537994112368745,2.587163,0.656779,3.939168274259682,4,1.0134498528092186
random_n04_07,random,4,max,8064,4,natural,0.326772941468254,0.09058122519841269,3.607512933861047,2.657158,0.741793,3.5820747836660627,4,0.9018782334652617
random_n04_07,random,4,min,7808,4,static,0.4966933913934426,0.13181582991803278,3.768086061456368,3.888907,1.038009,3.7465060514889563,4.0,0.942021515364092
random_n04_07,random,4,spectrum,3712,4,high,1.2078494073275863,0.25903556034482755,4.66287101940637,4.508355,0.984052,4.581419477832472,8,0.5828588774257962
random_n04_07,random,4,spectrum,3584,4,natural,1.1711791294642857,0.2359525669642857,4.963621055419829,4.210125,0.856529,4.915332697433478,8,0.6204526319274786
random_n04_08,random,4,max,8960,4,high,0.2838337053571428,0.0705453125,4.02342402774306,2.553614,0.64246,3.974743952930922,4,1.005856006935765
random_n04_08,random,4,max,8064,4,natural,0.3269512648809524,0.0917718253968254,3.562654044062007,2.646919,0.761328,3.4767130592858795,4,0.8906635110155018
random_n04_08,random,4,min,7808,4,static,0.5151470286885247,0.1346516393442623,3.82577613757419,4.047156,1.05996,3.8182157817276123,4.0,0.9564440343935475
random_n04_08,random,4,spectrum,3712,4,high,1.1586031788793103,0.23433997844827587,4.944112338625311,4.313504,0.892823,4.831309229264927,8,0.6180140423281639
random_n04_08,random,4,spectrum,3584,4,natural,1.1709773995535713,0.23972795758928572,4.88460925179094,4.20868,0.870992,4.8320535665080735,8,0.6105761564738675
random_n04_09,random,4,max,8960,4,high,0.2738515625,0.07086071428571428,3.864645809183005,2.464946,0.645346,3.8195727563198654,4,0.9661614522957512
random_n04_09,random,4,max,8064,4,natural,0.31419878472222224,0.06597222222222222,4.762592105263158,2.545466,0.542424,4.692760644809226,4,1.1906480263157895
random_n04_09,random,4,min,7808,4,static,0.4909121413934426,0.11452574282786886,4.286478561691401,3.843383,0.90409,4.251106637613512,4.0,1.0716196404228502
random_n04_09,random,4,spectrum,3712,4,high,1.0930953663793102,0.2267790948275862,4.8200887617545165,4.069498,0.852569,4.773218355347192,8,0.6025110952193146
random_n04_09,random,4,spectrum,3584,4,natural,1.1199969308035713,0.23553487723214286,4.755121381449185,4.028011,0.855092,4.7106171031888975,8,0.5943901726811481
random_n05_00,random,5,max,5760,5,high,0.6807036458333333,0.13693767361111112,4.970901198208329,3.94556,0.800087,4.931413708759172,5,0.9941802396416659
random_n05_00,random,5,max,6400,5,natural,0.7136960937500001,0.11717359375,6.090929456962227,4.592242,0.761108,6.0336272907392905,5,1.2181858913924455
random_n05_00,random,5,min,2816,5,static,2.2893316761363636,0.3659747869318182,6.255435505077213,6.483914,1.055531,6.142798269307107,6.4,0.9774117976683145
random_n05_00,random,5,spectrum,1792,5,high,4.110073660714285,0.6110184151785715,6.726595399768937,7.393517,1.124574,6.574504656874515,10,0.6726595399768937
random_n05_00,random,5,spectrum,2048,5,natural,4.17711279296875,0.44429931640625,9.401573756078799,8.572568,0.924448,9.273174910865727,10,0.9401573756078798
random_n05_01,random,5,max,5760,5,high,0.710426388888889,0.1415947916666667,5.017320061894147,4.115501,0.828155,4.969481558403922,5,1.0034640123788294
random_n05_01,random,5,max,6400,5,natural,0.7174189062499999,0.1128084375,6.3596209835811255,4.605663,0.733343,6.280366758801816,5,1.2719241967162251
random_n05_01,random,5,min,2816,5,static,2.3853345170454543,0.36301242897727276,6.5709444818893346,6.753496,1.047571,6.446814583450668,6.4,1.0267100752952085
random_n05_01,random,5,spectrum,1792,5,high,4.090949776785714,0.5515435267857144,7.4172745723750095,7.350567,1.002819,7.329904000622246,10,0.741727457237501
random_n05_01,random,5,spectrum,2048,5,natural,4.253794921875,0.60279736328125,7.056757678434448,8.730174,1.264267,6.905324587290501,10,0.7056757678434449
random_n05_02,random,5,max,5760,5,high,0.7230362847222223,0.15580798611111113,4.640559850421303,4.176506,0.920648,4.536485171314117,5,0.9281119700842606
random_n05_02,random,5,max,6400,5,natural,0.7182000000000001,0.11348953125,6.328337002449291,4.608287,0.738525,6.239852408516977,5,1.2656674004898583
random_n05_02,random,5,min,2816,5,static,2.2316409801136365,0.3276008522727272,6.812073181835921,6.31495,0.935545,6.750022714032997,6.4,1.0643864346618626
random_n05_02,random,5,spectrum,1792,5,high,4.189090401785714,0.6483097098214285,6.46155739814473,7.526776,1.19135,6.317854534771478,10,0.6461557398144729
random_n05_02,random,5,spectrum,2048,5,natural,4.2142216796875,0.43658984375,9.652587525834997,8.650722,0.911255,9.493195647760507,10,0.9652587525834997
random_n05_03,random,5,max,5760,5,high,0.7215065972222222,0.14576909722222223,4.949654014268189,4.168417,0.851196,4.8971294507962915,5,0.9899308028536378
random_n05_03,random,5,max,6400,5,natural,0.71376296875,0.11491234375,6.211368991853845,4.57992,0.746715,6.133424398867038,5,1.242273798370769
random_n05_03,random,5,min,2816,5,static,2.255905184659091,0.39663991477272725,5.687539505326169,6.371172,1.140682,5.585405923824519,6.4,0.8886780477072138
random_n05_03,random,5,spectrum,1792,5,high,4.315034040178571,0.7312472098214285,5.900923767261017,7.768263,1.340144,5.796588277080672,10,0.5900923767261017
random_n05_03,random,5,spectrum,2048,5,natural,4.18138623046875,0.45203125,9.250214958520566,8.580829,0.940845,9.120342883259196,10,0.9250214958520566
random_n05_04,random,5,max,5760,5,high,0.7006119791666666,0.1435390625,4.8809847783885765,4.073799,0.850028,4.792546833751359,5,0.9761969556777153
random_n05_04,random,5,max,6400,5,natural,0.72577375,0.11797390625,6.151985409909236,4.669259,0.771658,6.050943552713767,5,1.2303970819818473
random_n05_04,random,5,min,2816,5,static,2.2754840198863637,0.38242862215909096,5.950088168190922,6.431626,1.101436,5.83930977378622,6.4,0.9297012762798315
random_n05_04,random,5,spectrum,1792,5,high,4.0991953125,0.5512472098214286,7.436219611574807,7.363419,1.002448,7.345437369319905,10,0.7436219611574807
random_n05_04,random,5,spectrum,2048,5,natural,4.1804697265625,0.457830078125,9.13105085555589,8.579834,0.966703,8.875356753832357,10,0.9131050855555889
random_n05_05,random,5,max,5760,5,high,0.68715625,0.13741059027777777,5.000751751454545,3.976813,0.803263,4.950823080360978,5,1.000150350290909
random_n05_05,random,5,max,6400,5,natural,0.7067659374999999,0.1178840625,5.995432482656423,4.544019,0.766045,5.931791213309923,5,1.1990864965312846
random_n05_05,random,5,min,2816,5,static,2.300297940340909,0.36700639204545454,6.26773263408451,6.496773,1.046525,6.207948209550656,6.4,0.9793332240757047
random_n05_05,random,5,spectrum,1792,5,high,4.4354453125,0.5502896205357143,8.060201659231796,7.98391,1.008081,7.919909213644538,10,0.8060201659231796
random_n05_05,random,5,spectrum,2048,5,natural,4.3765439453125,0.49747802734375,8.797461806867648,8.981084,1.048283,8.567423109980796,10,0.8797461806867648
random_n05_06,random,5,max,5760,5,high,0.6905946180555556,0.1480640625,4.664160947600337,3.989873,0.876172,4.553755427016613,5,0.9328321895200673
random_n05_06,random,5,max,6400,5,natural,0.7147162499999999,0.119068125,6.002582555154874,4.585991,0.773542,5.928561086534409,5,1.2005165110309748
random_n05_06,random,5,min,2816,5,static,2.285454190340909,0.35791086647727277,6.385540100627357,6.471944,1.033156,6.264246638455374,6.4,0.9977406407230245
random_n05_06,random,5,spectrum,1792,5,high,4.099657366071429,0.5491780133928571,7.465079202176143,7.364868,0.99849,7.376005768710754,10,0.7465079202176143
random_n05_06,random,5,spectrum,2048,5,natural,4.23682470703125,0.45507666015625,9.310134045495856,8.712559,0.946501,9.205018272563896,10,0.9310134045495856
random_n05_07,random,5,max,5760,5,high,0.6576480902777778,0.12524461805555556,5.250908985055634,3.800612,0.732855,5.18603543675079,5,1.050181797011127
random_n05_07,random,5,max,6400,5,natural,0.7138759375,0.11979078124999999,5.959356221328592,4.581525,0.777848,5.8900003599675,5,1.1918712442657184
random_n05_07,random,5,min,2816,5,static,2.2395465198863636,0.3209865056818182,6.977073740621176,6.324064,0.915705,6.906224166079687,6.4,1.0901677719720586
random_n05_07,random,5,spectrum,1792,5,high,4.103749441964285,0.5410329241071429,7.585027193560597,7.371179,0.984495,7.487269107511973,10,0.7585027193560597
random_n05_07,random,5,spectrum,2048,5,natural,4.1954208984375,0.59514892578125,7.049363137016814,8.609562,1.248969,6.893335222891841,10,0.7049363137016814
random_n05_08,random,5,max,5760,5,high,0.691907986111111,0.1374892361111111,5.0324520353866085,3.999252,0.809017,4.943347296781155,5,1.0064904070773217
random_n05_08,random,5,max,6400,5,natural,0.714309375,0.15697578125,4.550443191376059,4.583398,1.02813,4.457994611576357,5,0.9100886382752117
random_n05_08,random,5,min,2816,5,static,2.2604030539772726,0.35550958806818184,6.3582056007551575,6.401087,1.012652,6.321112287340567,6.4,0.9934696251179933
random_n05_08,random,5,spectrum,1792,5,high,4.274247767857143,0.5520837053571429,7.742028475722051,7.695344,1.003597,7.667763056286537,10,0.7742028475722051
random_n05_08,random,5,spectrum,2048,5,natural,4.19716162109375,0.44477685546875,9.436555813297355,8.612907,0.925147,9.309771312018523,10,0.9436555813297355
random_n05_09,random,5,max,5760,5,high,0.7296493055555555,0.1457642361111111,5.005681263265213,4.214878,0.851205,4.951660293348841,5,1.0011362526530427
random_n05_09,random,5,max,6400,5,natural,0.70169640625,0.11469703125,6.117825357838108,4.506705,0.745217,6.047506967769119,5,1.2235650715676216
random_n05_09,random,5,min,2816,5,static,2.280834161931818,0.35592933238636365,6.408109572312398,6.44065,1.015888,6.339921329910384,6.4,1.0012671206738122
random_n05_09,random,5,spectrum,1792,5,high,4.300239397321429,0.5751222098214286,7.477088041264522,7.742243,1.060077,7.303472294937067,10,0.7477088041264521
random_n05_09,random,5,spectrum,2048,5,natural,4.18658837890625,0.4506064453125,9.291008645033495,8.614017,0.937089,9.192314710769201,10,0.9291008645033495
